,Occurrences,lemma
0,38,omnis
1,21,quidam
2,16,cultus1
3,14,suus
4,14,noster
5,12,immobilis
6,12,meus
7,12,sanctus1
8,9,alius
9,9,predictus
10,7,ceterus
11,6,tributarius1
12,6,--
13,5,uester
14,5,indignus
15,5,mobilis
16,5,hic2
17,5,tuus
18,4,incultus1
19,4,quisque
20,4,proprius1
21,4,iustus
22,3,supradictus
23,3,dictus
24,2,integer
25,2,prenominatus
26,2,alter
27,2,confessus
28,2,ipse1
29,2,quietus
30,2,totus
31,2,benignus
32,2,nominatus1
33,2,chartularius1
34,1,inutilis
35,1,cunctus
36,1,bonus
37,1,prefatus
38,1,sequens
39,1,liber2
40,1,sibus
41,1,arbustus
42,1,stalarius
43,1,plurimus
44,1,suprascriptus
45,1,plures
46,1,subditus1
47,1,usuarius1
48,1,socius1
49,1,iamdictus
50,1,perpetuus
51,1,curtensis1
52,1,monasticus
53,1,humilis
54,1,ingenuus1
55,1,uniuersus
56,1,libellarius1
57,1,precarius1
58,1,massaricius
59,1,nullus
60,1,sericus1
61,1,inquisitus
62,1,presens
63,1,qualiscumque
64,1,nouus
65,1,par1
66,1,caldarius
