,Occurrences,lemma
0,16,sum
1,9,--
2,8,dono
3,8,habeo
4,6,dico2
5,6,do
6,4,accipio
7,4,pertineo
8,4,trado
9,3,uoco
10,3,facio
11,2,liceo
12,2,dimitto
13,2,firmo
14,2,concedo
15,2,famulo
16,1,succedo
17,1,uiuo
18,1,abrado
19,1,indignor
20,1,capio1
21,1,calumnio
22,1,duco
23,1,participo
24,1,deuenio
25,1,possideo
26,1,conuenio
27,1,quero
28,1,prelego2
29,1,uideo
30,1,uiuesco
31,1,resideo
32,1,uenio
33,1,statuo
34,1,teneo
35,1,presumo
36,1,ago
37,1,seruio
38,1,congrego
39,1,nubo
40,1,addo
41,1,pono
42,1,maneo
43,1,transfundo
44,1,exsisto
45,1,commoror
