word	F
,	762
.	309
et	235
in	127
s	81
de	73
que	69
ut	59
ecclesie	52
;	45
cum	45
sancti	44
ad	34
est	33
qui	33
quod	31
dei	27
pro	27
a	24
hoc	24
quam	22
archiepiscopus	21
eius	21
sancte	21
autem	20
non	20
scilicet	19
uel	19
ego	18
omnibus	18
per	18
abbatis	17
eorum	17
nomine	17
ecclesiam	16
episcopus	16
deo	15
ecclesia	15
ipsius	15
subscripsi	14
archidiaconi	13
hugo	13
nobis	13
nostri	13
sancto	13
domini	12
eiusdem	12
etiam	12
ex	12
monachis	12
nostro	12
si	12
uilla	12
ac	11
anno	11
archidiaconus	11
monachi	11
petri	11
suis	11
hugonis	10
stephani	10
ab	9
atque	9
cuius	9
ea	9
episcopi	9
fratrum	9
ipso	9
monachorum	9
nostris	9
omnium	9
petro	9
tempore	9
cluniacensi	8
eis	8
esse	8
filii	8
hec	8
honore	8
locum	8
manu	8
nostra	8
nostrorum	8
omnes	8
quia	8
se	8
sed	8
sicut	8
tam	8
uero	8
abbas	7
appendiciis	7
archipresbyteri	7
auctoritate	7
aut	7
decani	7
fidelium	7
hanc	7
iam	7
igitur	7
ipse	7
loci	7
lugdunensis	7
necnon	7
nos	7
nostram	7
quas	7
rege	7
sit	7
terra	7
:	6
(	6
)	6
absque	6
christi	6
christo	6
cluniacensis	6
domni	6
eidem	6
eo	6
fidelibus	6
fieri	6
fratres	6
gratia	6
iure	6
marie	6
maxime	6
pauli	6
presentes	6
quo	6
richerius	6
sanctorum	6
sibi	6
similiter	6
sua	6
successores	6
sunt	6
uocatur	6
alii	5
altare	5
apud	5
archiepiscopi	5
archipresbiter	5
bonis	5
cartam	5
consuetudines	5
cunctis	5
decimis	5
deum	5
diaconus	5
donum	5
enim	5
fratribus	5
huius	5
idem	5
ipsa	5
itaque	5
martiris	5
me	5
mei	5
meis	5
ne	5
nostre	5
notum	5
ob	5
permaneat	5
post	5
presentia	5
presentiam	5
propria	5
quapropter	5
quicquid	5
quis	5
quorum	5
quos	5
ratione	5
regnante	5
remigii	5
semper	5
seu	5
sine	5
sita	5
sub	5
suo	5
supra	5
uallis	5
uidetur	5
uille	5
abbate	4
actum	4
alia	4
animarum	4
apostolis	4
bone	4
cancellarius	4
clericorum	4
confirmamus	4
credimus	4
dicitur	4
dominus	4
domno	4
domnus	4
eam	4
episcopis	4
futuri	4
futuris	4
