word	F
et	186
.	116
de	95
,	80
in	80
quod	35
per	24
a	23
ad	23
ecclesie	23
hoc	21
ut	20
est	17
ego	16
pro	16
que	16
fratribus	15
sancti	15
stephanus	15
ab	14
comes	14
manum	14
quam	14
autem	13
eius	13
ipsius	13
si	13
archiepiscopus	12
ordinis	12
:	11
anno	11
dei	11
domini	11
eorum	11
fratres	11
sunt	11
eis	10
nostram	10
tam	10
cisterciensium	9
co	9
gratia	9
guillermus	9
lugdunensis	9
mo	9
nostri	9
notum	9
parte	9
territorio	9
testes	9
actum	8
comite	8
deo	8
eiusdem	8
homines	8
hugo	8
nomine	8
perpetuum	8
qui	8
se	8
sigilli	8
stephani	8
[	7
]	7
abbates	7
comitis	7
comitissa	7
donauit	7
eecclesiee	7
eos	7
etiam	7
fideliter	7
hanc	7
humbertus	7
incarnatione	7
ita	7
partem	7
rei	7
sua	7
uel	7
cartam	6
cistercii	6
filii	6
filius	6
frater	6
futuris	6
igitur	6
impressione	6
monachi	6
presentibus	6
quas	6
s	6
sedis	6
sibi	6
super	6
tamen	6
terram	6
totum	6
uniuersis	6
abbatis	5
alii	5
archidiaconus	5
archiepiscopi	5
aut	5
bernardus	5
cistercienses	5
cisterciensi	5
cum	5
decanus	5
dedit	5
donum	5
ea	5
eisdem	5
elemosinam	5
ex	5
fratrum	5
futurum	5
guido	5
habebant	5
ibi	5
lastrece	5
me	5
nec	5
nisi	5
non	5
nos	5
omnibus	5
perpetuo	5
petrus	5
poterunt	5
qua	5
quoniam	5
res	5
roseriarum	5
sancte	5
sed	5
suis	5
uoluerint	5
uxor	5
absque	4
aliqua	4
aliquo	4
anime	4
apud	4
archidiaconi	4
bisuntini	4
bisuntinis	4
bona	4
burgundie	4
canonicus	4
cisterciensis	4
concesserunt	4
donationem	4
dono	4
ecclesia	4
factum	4
fieri	4
firmum	4
girardus	4
guichardus	4
guillelmus	4
his	4
hominibus	4
huius	4
ibidem	4
idem	4
inuestierunt	4
ipsis	4
ipsos	4
lxxxo	4
mammetis	4
manu	4
marie	4
matiscensis	4
memorie	4
ne	4
nostra	4
nostris	4
nostro	4
omnium	4
pater	4
possidendum	4
presentiam	4
quee	4
quinciacensium	4
remedio	4
scripto	4
scriptum	4
sicut	4
sine	4
singulis	4
siue	4
stephano	4
sui	4
suus	4
terras	4
uolo	4
willermus	4
abbati	3
aliquid	3
annis	3
ante	3
apostolice	3
aque	3
arguel	3
bisuntinensis	3
cetero	3
concessionem	3
concessit	3
diligenter	3
dominus	3
domnum	3
eam	3
eandem	3
eecclesiam	3
essartare	3
excolebant	3
facio	3
fecimus	3
foresta	3
gerardi	3
gerardo	3
geste	3
guidonis	3
habeatur	3
habebunt	3
habendum	3
hugonis	3
iam	3
illis	3
illud	3
inferre	3
ipsi	3
ipsum	3
iurauit	3
laudationem	3
legatus	3
m	3
manibus	3
mea	3
meo	3
miratorio	3
nichil	3
nullam	3
omnes	3
omni	3
omnia	3
pace	3
pasturam	3
pauli	3
plenarie	3
plures	3
pontius	3
predicta	3
presentem	3
presentia	3
propriis	3
querela	3
quibus	3
quicquid	3
quinciacensibus	3
quo	3
quoque	3
ratum	3
rebus	3
roseriis	3
scire	3
sigillo	3
statutum	3
successoribus	3
sue	3
suo	3
suorum	3
terris	3
testimonium	3
theodericus	3
totam	3
