word	F
,	25
et	21
in	9
.	7
ut	5
eorum	4
autem	3
ecclesie	3
que	3
ab	2
communioni	2
dominum	2
ego	2
eis	2
erat	2
facultates	2
fuerint	2
futurum	2
hec	2
ipse	2
laudent	2
quod	2
res	2
seu	2
uel	2
uita	2
ulterius	2
;	1
a	1
accipiatur	1
ad	1
afferret	1
afflicta	1
aliquando	1
aliquo	1
anathema	1
anno	1
annuendum	1
atque	1
aut	1
bonorum	1
canonicis	1
canonicorum	1
cessante	1
clericorum	1
cognoscens	1
communione	1
confirmantibus	1
conspectum	1
consuetudinibus	1
contradicentibus	1
corroborent	1
creberrimis	1
crudeliter	1
cuius	1
cum	1
de	1
decidit	1
deinceps	1
deprecor	1
direptionibus	1
diripiendo	1
dissipantibus	1
distribuerit	1
domini	1
dominica	1
donando	1
drogo	1
drogonis	1
dudum	1
ea	1
eatenus	1
ecclesia	1
eidem	1
eius	1
episcopi	1
episcopos	1
episcopus	1
erant	1
esse	1
ex	1
exoro	1
faciant	1
facio	1
facte	1
fecerant	1
francia	1
francorum	1
fratrum	1
gratis	1
gualtherius	1
habiti	1
hactenus	1
hoc	1
humiliter	1
ibidem	1
igitur	1
ii	1
ille	1
illorum	1
illud	1
incarnatione	1
indictione	1
indignus	1
inhibendo	1
iniustitias	1
interemptus	1
interminabili	1
ipsa	1
ipsius	1
ipso	1
ipsorum	1
istud	1
itaque	1
iure	1
iuste	1
katerua	1
laudantibus	1
laudo	1
licet	1
loco	1
lxiiii	1
malis	1
matiscensis	1
maxime	1
meos	1
millesimo	1
ministerium	1
miserendo	1
moris	1
ne	1
necessario	1
nimis	1
nisi	1
nomine	1
nostrum	1
nunc	1
obitu	1
oblata	1
obtestando	1
obtestor	1
occasione	1
officii	1
officium	1
omnes	1
omni	1
omnimodis	1
omnino	1
participes	1
per	1
perditio	1
perennis	1
perpes	1
perpetualiter	1
perturbate	1
petens	1
petierunt	1
petitioni	1
philippo	1
pono	1
pontificem	1
possiderent	1
predecessorum	1
predestinando	1
predicta	1
prelatione	1
prelationis	1
prepositi	1
prepositure	1
prepositus	1
presenti	1
presentia	1
presul	1
preterquam	1
principes	1
propinquis	1
puero	1
quas	1
quasdam	1
quatenus	1
quelibet	1
quibuslibet	1
quidam	1
quitquid	1
quo	1
quoque	1
quorum	1
redderet	1
reddidit	1
reddo	1
regem	1
regnante	1
remedia	1
remittit	1
requiratur	1
resipuerint	1
restituit	1
romane	1
salus	1
sancte	1
scienter	1
scilicet	1
scriptum	1
secundum	1
secure	1
sicut	1
sint	1
sit	1
successores	1
successorum	1
sui	1
summum	1
sumptum	1
sunt	1
suo	1
suorum	1
supplicatione	1
tenorem	1
tenuerant	1
tenuerat	1
totum	1
tum	1
uendendo	1
uenit	1
uero	1
unde	1
usurpatum	1
