word	F
,	231
et	167
de	87
.	84
la	43
in	32
que	29
en	26
par	23
a	21
le	21
diz	20
les	19
li	19
dou	18
mes	17
quod	17
ad	15
dit	15
des	14
nous	12
num	11
domini	10
nobis	10
procureur	10
si	10
autem	9
cause	9
cum	9
dite	9
ego	9
il	9
item	9
u	9
ut	9
an	8
comme	8
es	8
est	8
fait	8
religious	8
[	7
]	7
anno	7
grant	7
nos	7
per	7
uel	7
;	6
abbas	6
au	6
berziaci	6
ce	6
cheualiers	6
coram	6
desuis	6
desus	6
dites	6
dominus	6
hoc	6
iure	6
nostre	6
pro	6
qui	6
s	6
ab	5
dautre	5
deuant	5
dicte	5
dune	5
ecclesie	5
eidem	5
eorum	5
fecerant	5
iutisse	5
lor	5
non	5
omnibus	5
quam	5
regis	5
saissine	5
soignerie	5
super	5
touz	5
uile	5
uniuersis	5
antantion	4
autre	4
bailliuus	4
cc	4
ces	4
cheualier	4
conuentus	4
die	4
dominum	4
du	4
ea	4
habitanz	4
hec	4
lettres	4
m	4
mee	4
ne	4
notum	4
ny	4
ou	4
part	4
petite	4
plusous	4
post	4
presentes	4
se	4
singulis	4
suam	4
tam	4
uille	4
afim	3
ampossession	3
anfanz	3
apud	3
arbois	3
cesser	3
chouses	3
cuius	3
d	3
datum	3
defuncte	3
dictus	3
domino	3
droit	3
elemosinam	3
estoit	3
etiam	3
fide	3
hanc	3
litteras	3
litteris	3
lon	3
lugdunensis	3
metoit	3
meum	3
mil	3
moytie	3
necnon	3
nostrum	3
omni	3
omnia	3
partie	3
parties	3
posession	3
pour	3
presentibus	3
prouer	3
quantum	3
quele	3
quo	3
religieux	3
saint	3
seu	3
sui	3
sunt	3
sus	3
tant	3
teneor	3
trouble	3
uero	3
uidelicet	3
uxoris	3
(	2
)	2
actum	2
aliquid	2
anniuersario	2
appale	2
apres	2
asauoir	2
assise	2
auons	2
aut	2
autant	2
b	2
beluacensi	2
biens	2
bona	2
bourgoigne	2
cest	2
ciuitatis	2
clugniacensis	2
cluniacensis	2
communioni	2
concesserunt	2
condampne	2
condampnessiens	2
consensu	2
contra	2
contraire	2
controignessiens	2
controindre	2
copie	2
corporaliter	2
cy	2
dampna	2
decui	2
deuantiers	2
deuis	2
dicti	2
dictum	2
donnee	2
donnons	2
ean	2
ecclesia	2
ees	2
eis	2
eisdem	2
ele	2
episcopi	2
erat	2
estre	2
eulx	2
excellentie	2
expedire	2
facere	2
facimus	2
facio	2
facta	2
facultates	2
faites	2
festum	2
francorum	2
frater	2
fratrum	2
fuerint	2
fuit	2
futurum	2
guillaume	2
habere	2
hereditas	2
hereditatem	2
hiis	2
homines	2
hominibus	2
hommes	2
hont	2
iam	2
igitur	2
imposez	2
inde	2
infra	2
iniurias	2
inspecturis	2
iohannes	2
iournee	2
ipse	2
ipsius	2
istud	2
iuham	2
iusticiam	2
l	2
laudent	2
legitime	2
leur	2
leurs	2
loco	2
maison	2
mandement	2
mardi	2
matisconensis	2
me	2
mea	2
mihi	2
millesimo	2
molismensi	2
monachis	2
