word	F
,	6551
.	4331
et	2673
in	1674
s	1416
a	1012
de	684
ad	630
que	543
;	487
qui	464
terra	443
dono	440
sancti	432
uilla	357
cum	349
ego	349
est	332
die	314
dei	297
petri	271
ipsa	259
si	224
pro	223
mane	222
sero	217
ut	207
:	200
pago	195
quod	194
uinea	189
uia	188
medio	185
ex	184
hoc	179
sunt	179
terminat	178
locum	171
eius	161
infra	155
publica	155
quis	152
firmare	150
uobis	150
deo	149
uero	144
anno	142
rebus	139
presbiter	135
uel	135
rogauit	131
autem	130
fieri	129
alio	128
firma	128
post	125
regnante	125
petro	123
mee	122
permaneat	121
auri	120
hanc	120
rege	119
nomine	118
agro	115
aliquid	112
omnibus	110
per	110
res	108
meis	107
loco	104
unum	104
actum	103
ista	103
mense	103
subnixa	103
u	99
totum	98
uno	98
cercio	97
stabilis	97
aut	96
hereditate	96
non	93
terminatur	93
donationem	92
iam	92
integrum	92
istas	92
uoluerit	92
apostolis	90
quicquid	90
data	88
sanctis	88
site	88
uincentii	88
ac	87
atque	87
omnia	87
presbiteri	87
anime	86
cui	83
donamus	83
meum	83
meorum	82
perticas	81
uineam	81
paulo	80
ecclesie	79
quam	79
fronte	78
hec	78
matisconense	78
[	77
]	77
componat	77
leuita	77
sacerdos	77
etiam	76
domnus	74
stipulatione	74
una	74
cluniaco	73
ipse	73
ipsam	72
ubi	72
ullus	72
omni	70
uidetur	70
faciant	69
campum	67
cluniacum	67
nos	67
unam	67
uoluerint	67
facere	66
ipso	66
discessum	64
libras	64
omnium	64
sancto	64
latus	63
alia	62
scripsit	62
casam	60
mei	60
tempore	60
contra	58
tenore	58
sed	57
circio	56
ea	56
bernardi	55
domino	55
mea	55
mihi	55
publice	55
terminationes	55
remedio	53
tibi	53
matisconensi	52
perueniat	52
apostolorum	51
dicitur	51
ualeat	51
parte	50
persoluat	50
pratis	50
suis	49
tenente	49
abba	48
eo	48
parentum	48
simul	48
teneam	48
igitur	47
repetit	47
sacrosancte	47
sit	47
sua	47
uineis	47
campis	46
mansum	46
medietatem	46
uocatur	46
ab	45
dum	45
seu	45
esse	44
inantea	44
anima	43
annos	43
regis	43
sanctorum	43
uindicare	43
ipsum	42
item	42
pauli	42
similiter	42
terminaciones	42
ipsius	41
quem	41
siluis	41
uixero	41
coactus	40
donatio	40
honore	40
iiii	40
maiolus	40
martini	40
potestate	40
iii	39
me	39
rectores	39
sancte	39
sine	39
uestitura	39
usum	39
campo	38
contradixerit	38
dominus	38
fructum	38
incurrat	38
matris	38
patris	38
aquarum	37
curtilum	37
habet	37
omnipotentis	37
preest	37
scilicet	37
aquis	36
cartam	36
nisi	36
partibus	36
quandiu	36
signum	36
amore	35
carta	35
curtilo	35
decursibus	35
iram	35
ratione	35
uocat	35
habere	34
isto	34
litem	34
loci	34
preesse	34
huius	33
istam	33
possideam	33
quapropter	33
heredibus	32
monasterio	32
nobis	32
quamdiu	32
stephani	32
tantum	32
ui	32
abbas	31
curtilus	31
ii	31
persoluam	31
rogatus	31
abet	30
inquirendum	30
iure	30
libram	30
nostris	30
rogauerunt	30
sacerdotis	30
scripsi	30
certio	29
dictum	29
donacione	29
inferre	29
inter	29
manum	29
sub	29
uocant	29
aliquam	28
annis	28
fidelium	28
fratrum	28
ibi	28
quesitum	28
remedium	28
sicut	28
ipsi	27
manu	27
oc	27
pars	27
persona	27
presbitero	27
trado	27
at	26
campus	26
his	26
marie	26
meam	26
meridie	26
quoque	26
uidelicet	26
cancellarii	25
cirtio	25
cluniensis	25
duas	25
duranni	25
fines	25
fratribus	25
homo	25
ita	25
latere	25
meas	25
meo	25
nomen	25
partem	25
presenti	25
sita	25
situs	25
uoluntate	25
casa	24
constructa	24
donationis	24
girbaldi	24
hugone	24
leuite	24
omo	24
rotberti	24
tam	24
transfundo	24
comitatu	23
fine	23
fratris	23
indominicatum	23
insimul	23
longo	23
munda	23
terminet	23
ulla	23
(	22
)	22
alium	22
auro	22
beatorum	22
datauit	22
diem	22
edate	22
eorum	22
facta	22
longum	22
medium	22
prato	22
pratum	22
quantum	22
sanctum	22
uite	22
uiuo	22
calumniare	21
diuina	21
episcopus	21
facio	21
insuper	21
quas	21
riuo	21
suorum	21
uncias	21
animas	20
cogente	20
contradicere	20
dominico	20
eredibus	20
eterna	20
extinguit	20
faciatis	20
fierit	20
intulerit	20
primis	20
primitus	20
singulis	20
suo	20
supra	20
tali	20
terminio	20
uicem	20
xii	20
adalberti	19
calumpniare	19
contradicentem	19
denarios	19
domno	19
eiusdem	19
festiuitate	19
fuerit	19
habeo	19
i	19
lotharii	19
minime	19
petrum	19
uii	19
uisus	19
alias	18
calumniam	18
cluniensi	18
dauid	18
elemosinam	18
fecit	18
frater	18
incarnati	18
lothario	18
martiris	18
meus	18
monachi	18
partes	18
pascuis	18
sacrosancto	18
uenire	18
uerbi	18
uias	18
uiii	18
arnulfi	17
dicto	17
futurum	17
hac	17
iudiciaria	17
muros	17
necnon	17
notum	17
nouerint	17
peccatorum	17
prefatum	17
salutem	17
sextarios	17
subscripsi	17
sum	17
temptauerit	17
tres	17
uidentur	17
uolueritis	17
usque	17
xx	17
aliam	16
berardi	16
christi	16
constantii	16
domini	16
donnus	16
ecclesia	16
matisconum	16
medietate	16
obitum	16
pietate	16
presumpserit	16
racione	16
se	16
sic	16
subscripsit	16
sui	16
xxx	16
aliis	15
aqua	15
clericus	15
consensit	15
contradicente	15
credo	15
currente	15
deinceps	15
firmari	15
ipsis	15
manso	15
modo	15
monachis	15
odilo	15
pos	15
rothardi	15
sibi	15
stipulacione	15
supradictum	15
terre	15
tribus	15
uino	15
uoluente	15
aliqua	14
aspicit	14
au	14
bone	14
conuenit	14
dataui	14
dignetur	14
ecclesiam	14
generis	14
humani	14
infantibus	14
integro	14
iulio	14
lato	14
muro	14
postea	14
potestatem	14
qua	14
quarta	14
quidquid	14
