word	F
.	282
,	248
et	189
in	144
de	122
a	108
s	62
quod	46
ad	39
sancti	37
ego	30
terra	28
die	25
dono	24
medio	24
mane	23
sero	23
;	22
est	21
pro	21
sunt	21
perticas	20
qui	20
circio	19
que	19
uilla	19
[	18
]	18
eius	18
hoc	18
post	18
pago	16
presbiter	16
si	16
ut	16
infra	15
quam	15
uincentii	15
uia	14
agro	13
ecclesie	13
publica	13
terminat	13
uineam	13
anno	12
cum	12
:	11
ab	11
medietatem	11
tibi	11
uobis	11
archipresbiter	10
ex	10
futuris	10
huius	10
notum	10
omnibus	10
petri	10
presentibus	10
quicquid	10
quis	10
testes	10
uinea	10
cistercii	9
dei	9
dominus	9
elemosinam	9
fratribus	9
habet	9
hugo	9
inter	9
ipsa	9
longo	9
matisconense	9
mei	9
u	9
uel	9
atque	8
facio	8
filii	8
per	8
rebus	8
rei	8
similiter	8
sua	8
terminatur	8
actum	7
auri	7
componat	7
contradixerit	7
decessum	7
dicti	7
domini	7
humbertus	7
i	7
istos	7
mo	7
se	7
stephani	7
stephanus	7
tam	7
terminos	7
uero	7
usque	7
cistercienses	6
concessit	6
domino	6
filius	6
fronte	6
habebat	6
iohannes	6
ipsam	6
ipso	6
meam	6
meum	6
odo	6
parte	6
presbiteri	6
recognouit	6
sicut	6
sigilli	6
sigillo	6
totum	6
uxor	6
aliam	5
annos	5
autem	5
aymo	5
conquisiui	5
dedit	5
dilecto	5
eo	5
etiam	5
fieri	5
fratres	5
fratrum	5
guido	5
idem	5
igitur	5
ipse	5
istas	5
leuite	5
libere	5
maceriis	5
mansum	5
matisconensi	5
mea	5
meis	5
monachi	5
monachis	5
omni	5
petrus	5
presens	5
radulphus	5
ratum	5
site	5
suo	5
tempore	5
terminationes	5
xii	5
alia	4
aliquid	4
annuatim	4
belnensis	4
bernardi	4
campo	4
campum	4
clericus	4
co	4
dimidium	4
domui	4
donat	4
eisdem	4
finagio	4
frater	4
hanc	4
hec	4
helisabeth	4
ibi	4
ii	4
iure	4
lambertus	4
leuita	4
marie	4
me	4
memoratis	4
monachos	4
monachus	4
nomine	4
nos	4
pedes	4
permaneat	4
perpetuam	4
perpetuo	4
pratis	4
pratum	4
presentem	4
presentia	4
quamdiu	4
quas	4
quinciac	4
quinciacenses	4
quitauit	4
quos	4
rectores	4
robertus	4
salorniacense	4
scriptum	4
sed	4
sibi	4
sue	4
terras	4
testimonium	4
toto	4
trado	4
unum	4
uolueris	4
x	4
abbatis	3
aliis	3
altera	3
anima	3
archidiaconus	3
arnulfus	3
aymonis	3
beligniacenses	3
cco	3
cellerarius	3
cisterciensis	3
concesserunt	3
controuersia	3
conuenit	3
coram	3
dederat	3
dederunt	3
denarios	3
deo	3
dictorum	3
domum	3
domus	3
donationem	3
eidem	3
eiusdem	3
eorum	3
excessum	3
facias	3
fratri	3
fusciacensi	3
hac	3
henricus	3
hunc	3
iam	3
iii	3
inde	3
integrum	3
ipsi	3
ipsis	3
ipsius	3
ita	3
iuris	3
iuxta	3
laudauerunt	3
laudauit	3
letherius	3
libras	3
martini	3
martiris	3
medium	3
mensam	3
meo	3
meus	3
millesimo	3
modium	3
moyson	3
munimine	3
murum	3
nemore	3
nicholaus	3
nono	3
obitum	3
omnia	3
pacto	3
plantam	3
plantum	3
pontius	3
possideant	3
presbitero	3
presenti	3
querelam	3
quia	3
quiete	3
quinciaci	3
quo	3
ratione	3
raynaldus	3
rectoribus	3
rodulfus	3
sacrosancte	3
salins	3
sancte	3
sanctum	3
sententiam	3
sit	3
sita	3
suis	3
super	3
teneat	3
terris	3
tres	3
uini	3
uno	3
unus	3
uoluerint	3
uoluerit	3
usum	3
uxore	3
uxori	3
xx	3
(	2
)	2
acta	2
adelina	2
adonis	2
alii	2
alio	2
annis	2
apostolica	2
apud	2
arnulfi	2
asi	2
auctoritate	2
auscherii	2
bartholomei	2
bartholomeus	2
beatorum	2
beatricis	2
benedictus	2
beraldus	2
bernardo	2
bernardus	2
bosco	2
brandencus	2
bremur	2
breuimuro	2
campos	2
campus	2
canonicus	2
cartam	2
casam	2
censu	2
cercio	2
christi	2
cisterciensi	2
ciuitatis	2
commutarent	2
commutat	2
complacuit	2
confirmaui	2
consilio	2
conuersus	2
cuius	2
curtilus	2
cyrographi	2
decetero	2
desertum	2
diaconus	2
dicitur	2
dictus	2
diem	2
domina	2
domnum	2
domo	2
dum	2
duos	2
duximus	2
edificata	2
ei	2
eis	2
emptore	2
erga	2
faber	2
facere	2
faciant	2
faciat	2
facient	2
facimus	2
feci	2
festo	2
filiis	2
fine	2
firmare	2
firmitatem	2
fontanilias	2
frumenti	2
fuisset	2
fuit	2
fusciacense	2
gaufridi	2
giraldi	2
giraldo	2
girardus	2
gohe	2
grangie	2
gratie	2
guillermus	2
habent	2
habere	2
halerei	2
helemosinam	2
henrici	2
hereditate	2
hugonem	2
humberti	2
ibidem	2
iiii	2
iiio	2
illa	2
illam	2
illum	2
incarnati	2
incarnatione	2
incarnationis	2
incaucionamus	2
