word	F
,	62
et	28
.	15
in	15
de	14
cum	7
ecclesie	5
marie	5
s	5
eius	4
per	4
beliocensis	3
decanus	3
ne	3
que	3
sancte	3
semper	3
ut	3
;	2
ad	2
apud	2
atque	2
beliocensi	2
bernardus	2
caniuiaco	2
canonicis	2
cuius	2
dei	2
deo	2
domni	2
ego	2
episcopi	2
fidelium	2
hugo	2
humberti	2
manso	2
manu	2
matiscensis	2
maxime	2
omnium	2
parentum	2
post	2
quod	2
si	2
stephano	2
stephanus	2
teneant	2
tunc	2
uichardus	2
[	1
]	1
abbas	1
ac	1
adhuc	1
adiimus	1
affirmari	1
agere	1
alicui	1
aliquam	1
aliquid	1
aliquo	1
alliis	1
altarium	1
amen	1
animarum	1
anime	1
annos	1
archipresbiter	1
argenti	1
artaldus	1
auxilia	1
auxiliante	1
axii	1
barbara	1
beate	1
beatissime	1
belioco	1
beliocum	1
belloioco	1
benefactum	1
berardi	1
berardo	1
bernardo	1
besornaco	1
bona	1
bonis	1
calumpnia	1
canonici	1
capitulo	1
cappis	1
carere	1
castello	1
casulis	1
celebrent	1
certissimum	1
communi	1
comparare	1
concederemus	1
concessimus	1
consanguinitatis	1
consistere	1
contra	1
coopertoriis	1
cortinis	1
cuiusque	1
cultoribus	1
curaui	1
debeant	1
decano	1
decimas	1
defunctorum	1
denotationibus	1
deprecamur	1
designari	1
deuotione	1
deus	1
diem	1
diffiniuntur	1
discessum	1
donauerant	1
donauerunt	1
donni	1
dosa	1
durannus	1
eas	1
ecclesiasticis	1
elemosinis	1
engelbertus	1
etiam	1
femina	1
fidei	1
fieri	1
fratribus	1
fuit	1
fundate	1
futuris	1
futurorum	1
genitricis	1
germanis	1
habeamus	1
habebamus	1
haberent	1
his	1
honore	1
hugone	1
huius	1
ibidem	1
illius	1
incumberet	1
insula	1
intercessionem	1
interendat	1
io	1
ipsius	1
ipso	1
laudauerunt	1
letbaldo	1
litterarum	1
loci	1
magna	1
maiora	1
mandare	1
manipulis	1
manum	1
marcampo	1
marcis	1
medio	1
meis	1
memorie	1
memoriter	1
misereatur	1
missis	1
modo	1
monachi	1
monachis	1
monacho	1
monte	1
mortem	1
multa	1
necessario	1
nepote	1
nobilis	1
noluissent	1
nomine	1
nostra	1
nostre	1
nostris	1
nostro	1
nostrorum	1
nostros	1
notum	1
ob	1
obitus	1
obliuio	1
obliuionis	1
obnixe	1
occupationibus	1
omnes	1
omnibus	1
opus	1
orationibus	1
pace	1
palliis	1
parrochiam	1
partem	1
perpetuo	1
pertinebat	1
piseicium	1
pisiaco	1
pius	1
placita	1
pontio	1
possideamus	1
possideant	1
possidebamus	1
possidendum	1
preposito	1
presentiam	1
presentibus	1
prestat	1
prestitit	1
profitentibus	1
promittentes	1
propinquorum	1
propositum	1
psalmis	1
quam	1
quandiu	1
quapropter	1
quas	1
quatinus	1
quedam	1
quicquid	1
quiete	1
rebus	1
recte	1
reddentes	1
reddidimus	1
rei	1
religionis	1
rem	1
rerum	1
retinentes	1
ripto	1
roboratum	1
rogamus	1
sacrosancte	1
sanctorum	1
sc	1
scilicet	1
se	1
sed	1
seruicium	1
seruientibus	1
sibi	1
simul	1
sine	1
singulos	1
sit	1
site	1
solida	1
solummodo	1
speramus	1
spontanea	1
stabilitate	1
stolis	1
stopis	1
succedentium	1
successores	1
successori	1
successoribus	1
sue	1
sui	1
suis	1
sunt	1
supradicte	1
temporalium	1
temporum	1
teneretur	1
testes	1
testibus	1
uelle	1
uendiderunt	1
uerneio	1
uero	1
uerpiuimus	1
uestitura	1
uicissitudines	1
uidentur	1
uiderentur	1
uisserit	1
uita	1
ulla	1
unbertus	1
uniuersa	1
unius	1
uolumus	1
uoluntate	1
uxor	1
