word	F
et	123
,	83
.	53
de	42
debet	36
frumenti	36
curtilus	31
ii	27
unum	27
cybarie	25
denarios	25
uini	25
sextarium	23
iii	21
unam	21
eminam	19
i	19
cartallum	14
sextaria	14
eminas	10
gallos	9
iiii	9
in	9
ui	8
mansus	7
quem	7
cappones	6
duranni	6
panes	6
solidos	6
durannus	5
marie	5
sancte	5
capones	4
medietatem	4
porcum	4
pro	4
recipientem	4
uacce	4
census	3
debitales	3
dedit	3
dimidium	3
duo	3
est	3
iohannis	3
petrus	3
tenet	3
u	3
uiii	3
x	3
xii	3
alter	2
alteram	2
arberti	2
arderolis	2
bruliaco	2
cartallos	2
cibarie	2
debent	2
dono	2
duos	2
gertione	2
gitberti	2
guichardi	2
iiiior	2
iios	2
nobis	2
noticie	2
obtulit	2
primis	2
quintiaco	2
quos	2
sextarios	2
sigule	2
solidis	2
uii	2
uilla	2
xui	2
xuiii	2
:	1
a	1
aalardi	1
agnus	1
alius	1
altera	1
anime	1
antiquo	1
apicum	1
apte	1
aries	1
arlebaldi	1
armum	1
bel	1
benedictus	1
berardus	1
bernardi	1
bernardo	1
bonito	1
bornerii	1
borserii	1
brunus	1
buxeria	1
calcaris	1
campo	1
canalia	1
canonici	1
canonicis	1
canseiades	1
canta	1
cappellanus	1
cena	1
charentaia	1
christiani	1
concessit	1
condam	1
congruit	1
cossam	1
coxam	1
croso	1
cuius	1
cum	1
cursu	1
curte	1
curtili	1
curtilis	1
curtilum	1
curtione	1
dalfingo	1
debitale	1
dedimus	1
den	1
dicitur	1
diem	1
dosa	1
duobus	1
ecclesie	1
emina	1
engelberti	1
escambio	1
ex	1
exartis	1
faber	1
felgeriis	1
fidelium	1
filgeriis	1
fuit	1
futurorum	1
galmari	1
gertionis	1
girardi	1
gislardi	1
gitberdi	1
goobertus	1
guicchardi	1
gundini	1
habemus	1
hii	1
huc	1
hugo	1
hugonis	1
huius	1
iiies	1
inconuulsa	1
iniquenati	1
instabili	1
iohannes	1
ioiaco	1
labentis	1
largiter	1
letbaldi	1
loco	1
luminaria	1
lupo	1
maio	1
mansis	1
manso	1
martini	1
matricularis	1
matrircularis	1
mediano	1
moderno	1
modo	1
monte	1
nastiaco	1
nucis	1
optinere	1
parte	1
pascere	1
pateat	1
patre	1
peciolam	1
per	1
permanere	1
peseiz	1
petrosis	1
plaaneto	1
polemi	1
pontalio	1
porcellos	1
porci	1
presbitero	1
proinde	1
quam	1
quatenus	1
que	1
queant	1
quemque	1
qui	1
quo	1
recipientes	1
refectorium	1
remedio	1
rex	1
richardi	1
riferius	1
rollandi	1
sancto	1
sarmasiaco	1
sibi	1
signis	1
similiter	1
siniaco	1
sita	1
sol	1
soliditate	1
spatulam	1
stephanus	1
succedentia	1
sue	1
sunt	1
suo	1
taschia	1
tempora	1
temporis	1
terra	1
terre	1
terris	1
titbaldi	1
tradantur	1
truannus	1
ualentes	1
uarennis	1
uauurellii	1
uauurellis	1
uerneiz	1
uero	1
uetulus	1
ugo	1
uico	1
uigorem	1
uiiii	1
uillis	1
uinee	1
una	1
unus	1
uolumus	1
usque	1
ut	1
xiiiicim	1
