word	F
,	78
.	36
et	28
de	19
in	12
fuit	9
s	9
presens	8
filii	6
qui	6
sui	6
unum	6
carrariis	5
duobus	5
ennardus	5
est	5
ut	5
ad	4
denarium	4
homines	4
lex	4
per	4
quod	4
sunt	4
;	3
amplius	3
antiquis	3
consuetudo	3
gaufredi	3
ipse	3
monachi	3
nisi	3
non	3
que	3
si	3
sit	3
temporibus	3
tunc	3
ubi	3
uel	3
uilla	3
uocat	3
[	2
]	2
adalbertus	2
aderant	2
arigerius	2
boni	2
ceteri	2
cum	2
die	2
domnus	2
flaciaco	2
fuisset	2
gislardus	2
habere	2
hereditate	2
ibidem	2
iii	2
illorum	2
insimul	2
istam	2
item	2
mense	2
nos	2
omnes	2
omnibus	2
quantum	2
rannulfus	2
recipere	2
rotco	2
sanciaco	2
sancti	2
scamium	2
seu	2
teotardus	2
uisus	2
?	1
a	1
abba	1
abbo	1
abiron	1
accepissent	1
accipere	1
actum	1
adiutor	1
aimardus	1
alia	1
alii	1
alio	1
alios	1
alius	1
amalgaudus	1
ambaldus	1
angesis	1
anno	1
ante	1
antelmi	1
arnulfus	1
arramitus	1
aymo	1
berardus	1
bernardi	1
calmum	1
calumpniauerit	1
carbonade	1
cartam	1
circuitu	1
ciuitate	1
ciuitatis	1
clerici	1
cluniacenses	1
coletas	1
comitale	1
comitatu	1
comiti	1
coniurationem	1
conspalato	1
contra	1
contradicente	1
curtilum	1
datan	1
datum	1
debent	1
dederunt	1
dei	1
denarios	1
deodatus	1
deotadus	1
do	1
domni	1
domno	1
domnum	1
donat	1
dotlenus	1
duos	1
ecclesia	1
ecclesiam	1
edominus	1
ego	1
eis	1
eorum	1
esse	1
eue	1
ex	1
excommunicationem	1
facere	1
faciant	1
facimus	1
fecerunt	1
fecit	1
fidelibus	1
firma	1
firmari	1
firmauit	1
flotbertus	1
fontanas	1
franchisias	1
fratris	1
gaufredum	1
gauzberti	1
girbaldi	1
graoneta	1
gundulricus	1
hac	1
hec	1
his	1
hoc	1
homo	1
hugonis	1
huius	1
ibi	1
illi	1
incerte	1
incurrat	1
inferno	1
inprimis	1
inquirendum	1
inquisitionem	1
inter	1
iotseranni	1
ipsa	1
ipsius	1
iram	1
isarius	1
ista	1
iste	1
isto	1
istum	1
iterandum	1
iudicauerunt	1
iurandum	1
iurationes	1
iuratoria	1
iurauerunt	1
iurauit	1
iurent	1
kal	1
laboratores	1
laici	1
laurentii	1
leotbaldus	1
letbaldus	1
letelmus	1
loco	1
lune	1
maii	1
mallense	1
malo	1
manet	1
mansum	1
matiscone	1
matisconense	1
matisconensis	1
mayio	1
meliores	1
missus	1
modoi	1
mus	1
na	1
nec	1
necnon	1
nicecii	1
nobis	1
nostram	1
notitia	1
notitiam	1
notum	1
omnia	1
omnipotentis	1
ordine	1
otbertus	1
partem	1
particeps	1
permaneat	1
pluraliter	1
plures	1
plus	1
pontenariis	1
posite	1
possidere	1
postea	1
presentia	1
presentiam	1
presentibus	1
prisciaco	1
proclamauerunt	1
publice	1
quesitum	1
quicquid	1
rannulfi	1
recepit	1
recipiebant	1
reclamationis	1
rege	1
regnante	1
reliquie	1
resedit	1
responderunt	1
reuertendum	1
rodulfo	1
rogatus	1
rogauit	1
rotfredus	1
sacramentum	1
sacramentus	1
sancta	1
sancte	1
scaminci	1
scaminei	1
scripsi	1
scripta	1
se	1
sic	1
sine	1
siue	1
solidos	1
stabilis	1
sua	1
subscripsi	1
sue	1
super	1
superscripto	1
tam	1
tenet	1
testimonia	1
trasdeto	1
u	1
uenerunt	1
ueniebant	1
uenissent	1
uillis	1
ullo	1
una	1
uoce	1
uoluerint	1
uuicardi	1
uxoris	1
willelmo	1
xxx	1
