word	F
,	118
.	60
et	36
de	35
in	13
s	12
sancto	10
hoc	9
marcello	9
quam	9
;	8
cum	8
deo	7
qui	7
quod	7
autem	6
domnus	6
marcelli	6
que	6
sancti	6
ad	5
apud	5
dedit	5
pro	5
dono	4
donum	4
ex	4
ibi	4
mansum	4
omnibus	4
petri	4
petrus	4
scilicet	4
si	4
sit	4
sui	4
tam	4
uel	4
uilla	4
amen	3
anima	3
atque	3
dominum	3
ecclesiam	3
ecclesie	3
eius	3
eiusdem	3
est	3
etiam	3
fiat	3
hominibus	3
landrici	3
laudare	3
martiri	3
mea	3
nomine	3
non	3
propter	3
quendam	3
se	3
stephanus	3
testes	3
uidelicet	3
ut	3
wido	3
:	2
antecessorum	2
antequam	2
blanchez	2
cabilonensi	2
castanedo	2
castenedo	2
consuetudinem	2
contulit	2
cuius	2
decani	2
defuncti	2
domni	2
domus	2
ea	2
ego	2
esparuens	2
feci	2
frater	2
fratribus	2
fratris	2
futuris	2
futurorum	2
habebat	2
hugo	2
ipsam	2
ipse	2
letbaldi	2
loco	2
mala	2
memoriam	2
monachi	2
nec	2
nepotes	2
niblans	2
notum	2
omni	2
pactum	2
parte	2
perpetuum	2
post	2
presbiteri	2
presentibus	2
presentium	2
prioris	2
quando	2
quem	2
quis	2
rei	2
restituere	2
seu	2
sua	2
sunt	2
suo	2
suorum	2
uellet	2
uidentibus	2
ullus	2
ac	1
adaugere	1
aduersarius	1
alii	1
aliis	1
alios	1
aliquantulum	1
alodio	1
altare	1
amplius	1
anathema	1
anime	1
anniuersarii	1
annonam	1
annos	1
annotare	1
apicibus	1
aquam	1
archipresbiteri	1
arnulfus	1
arthaldo	1
asseuerauit	1
audientibus	1
baies	1
baptisterium	1
bartholomei	1
beati	1
beato	1
benedicti	1
bertaldi	1
bertardi	1
bertardus	1
bertranni	1
bonafilia	1
bonefacium	1
bonefacius	1
brunus	1
cabilonem	1
cabrol	1
caluellus	1
calumpnia	1
camiliaco	1
campis	1
candelas	1
capellani	1
capite	1
carnis	1
cartula	1
caseria	1
casteneto	1
cellararii	1
censi	1
ceteris	1
chiurels	1
christianus	1
ciphum	1
coci	1
cocus	1
cogente	1
cognocens	1
cognominatur	1
combussi	1
concedente	1
concessisse	1
concessit	1
conclusit	1
conditione	1
confirmare	1
consanguinitatis	1
consentiente	1
constat	1
constructo	1
contradiceret	1
contrarius	1
conuentu	1
conuentui	1
conuictus	1
coram	1
crareolum	1
crassa	1
cuiusdam	1
cupiens	1
curtem	1
curtilum	1
dalmariaco	1
datum	1
debitum	1
debuerunt	1
decanus	1
decem	1
decima	1
decime	1
dederat	1
dedisse	1
defenderet	1
dei	1
delbosc	1
die	1
dimidiam	1
disponimus	1
domina	1
dominam	1
domine	1
domno	1
domo	1
donatio	1
donationem	1
donatiuum	1
doni	1
duos	1
duranni	1
ei	1
eldierius	1
episcopo	1
etatem	1
eterno	1
eum	1
eundem	1
existere	1
exitum	1
facere	1
facerent	1
faceret	1
facta	1
factum	1
feceram	1
fecit	1
fide	1
filii	1
filium	1
fontaneis	1
forestarius	1
frangiaco	1
fratre	1
fratrem	1
fuerunt	1
fuit	1
futuros	1
galterii	1
galterio	1
galterius	1
garnerio	1
gauffredus	1
gaufredi	1
gemmonis	1
germano	1
geruasio	1
girgiaco	1
guidone	1
guillelmi	1
habeo	1
habitant	1
habitum	1
habuit	1
heynricus	1
homo	1
hugone	1
hugonem	1
huic	1
huius	1
huiusmodi	1
humberti	1
iairi	1
iam	1
id	1
idcirco	1
idem	1
igmarus	1
igni	1
illis	1
illius	1
incurrere	1
iniuriam	1
innumerabilia	1
inter	1
interpellationem	1
ipsos	1
iram	1
irrogare	1
isdem	1
isla	1
istius	1
iungens	1
iure	1
iussores	1
lamberti	1
laudante	1
laudauerunt	1
laurentii	1
letbaldo	1
liberis	1
libras	1
mansi	1
manso	1
mansos	1
manu	1
marchia	1
marescalli	1
mariniaco	1
mariscalcus	1
mariti	1
martiris	1
mater	1
matris	1
maxime	1
metuo	1
meus	1
miles	1
milite	1
milo	1
modi	1
molendinario	1
monachis	1
mors	1
multa	1
multi	1
narduini	1
nauiliaco	1
nimirum	1
notandum	1
noticiam	1
nuncupatur	1
obiceret	1
oblationem	1
obtulit	1
obuenientes	1
occasione	1
oddo	1
offerenda	1
officium	1
omne	1
omnem	1
omnia	1
omnipotentis	1
omnium	1
oratorio	1
oratorium	1
pacto	1
paganus	1
parriciaco	1
partem	1
patris	1
paupertate	1
penitus	1
per	1
peragatur	1
perfecit	1
persoluatur	1
persolueret	1
peruenirent	1
philippi	1
philippus	1
plena	1
pontidoto	1
pontonarii	1
pontors	1
porlineis	1
porta	1
posita	1
posset	1
possidentibus	1
possum	1
possunt	1
pratis	1
predicte	1
predicti	1
predicto	1
prepositus	1
presbiter	1
presentes	1
presenti	1
preueniret	1
prior	1
propinquitate	1
publicam	1
quandam	1
quedam	1
quia	1
quicquid	1
quidam	1
quoniam	1
rainerii	1
rainerius	1
rebus	1
recuperare	1
refectio	1
refectorio	1
remedio	1
requirat	1
requirebat	1
requisierit	1
responsurum	1
rodulphus	1
rotberto	1
salicherio	1
sanctum	1
satagimus	1
scire	1
semota	1
senior	1
sepulturam	1
sequentium	1
seruientibus	1
sibi	1
sicut	1
sign	1
siluis	1
singulos	1
situm	1
siue	1
solebat	1
solenne	1
solidorum	1
sorore	1
sororem	1
spectatores	1
spontanea	1
sue	1
suis	1
suos	1
supradicte	1
supramemorate	1
suscipiens	1
symonem	1
tali	1
tempore	1
tenebat	1
tenent	1
tenentibus	1
tenere	1
terciam	1
territorio	1
teutonicus	1
titterarum	1
tradere	1
tradi	1
transmittimus	1
uallibus	1
uerduno	1
uero	1
uiam	1
uichiaco	1
uiii	1
uillam	1
uirilem	1
uiriniaco	1
uldrici	1
ulgerius	1
unde	1
uniuerse	1
unum	1
uolo	1
uolumus	1
uoluntate	1
uulgali	1
uxori	1
werpicionem	1
ytmarus	1
