word	F
,	95
et	55
in	23
.	13
de	10
que	9
hoc	7
ad	6
ecclesia	6
ioanne	6
monasterii	6
sic	6
ecclesie	5
ipsius	5
presens	5
ac	4
autissiodorensis	4
charitate	4
dicti	4
domini	4
fieri	4
instrumentum	4
nos	4
a	3
altare	3
beate	3
cum	3
dicte	3
diecesis	3
ego	3
ipsa	3
istius	3
istud	3
marie	3
nec	3
nobis	3
non	3
omnibus	3
prioris	3
quia	3
quod	3
religiosis	3
religiosos	3
signatum	3
singulis	3
testibus	3
uoluntate	3
:	2
agerentur	2
aliis	2
anno	2
ante	2
audiui	2
authoritate	2
canonicus	2
christo	2
contra	2
dicerentur	2
dicta	2
dictos	2
die	2
diuina	2
dum	2
ea	2
episcopus	2
fecimus	2
fideliter	2
fierent	2
fui	2
guinardi	2
hec	2
ibidem	2
ista	2
loco	2
manu	2
mensis	2
millesimo	2
nomine	2
nostre	2
notario	2
notarius	2
ordines	2
parrochialis	2
pluribus	2
premissis	2
premissorum	2
premittitur	2
presentibus	2
pro	2
propter	2
publicum	2
publicus	2
quadringentesimo	2
quam	2
qui	2
religiosorum	2
reuerendi	2
scriptum	2
sibi	2
specialiter	2
sua	2
sunt	2
super	2
tam	2
testimonium	2
thome	2
uel	2
uidi	2
una	2
;	1
ab	1
accessum	1
accolytatu	1
acquirere	1
actum	1
aditum	1
affirmauit	1
aliena	1
alios	1
aliquam	1
aliquid	1
aliquod	1
amen	1
amici	1
antedicti	1
antiquo	1
antiquorum	1
apostolica	1
araby	1
assensu	1
assistantibus	1
assistentibus	1
autissiodorensi	1
biteau	1
castro	1
causa	1
celebrare	1
celebrari	1
celebraui	1
certificamus	1
cetera	1
charleu	1
circumspectis	1
ciuitate	1
clementia	1
cognouit	1
concedimus	1
concessit	1
concessum	1
confici	1
constitutus	1
consuetum	1
consueuit	1
conuocatis	1
couriarret	1
cunctis	1
datum	1
debemus	1
decima	1
declinauimus	1
delinquentium	1
deti	1
dici	1
dictam	1
dictum	1
dictus	1
diion	1
diocesana	1
dirigendo	1
dixit	1
domino	1
dominus	1
domni	1
domno	1
douuanne	1
ducis	1
dumtaxat	1
ecce	1
ecclesiam	1
effusionem	1
egimus	1
eiusdem	1
eorum	1
equa	1
equos	1
est	1
euidenter	1
ex	1
exempte	1
exemptionibus	1
existens	1
extraxi	1
faciendum	1
factam	1
fauore	1
fecissemus	1
fidem	1
forma	1
formam	1
fuit	1
futuris	1
g	1
gallicano	1
generali	1
gileti	1
gratiose	1
guibellini	1
guillermo	1
hac	1
honesto	1
hora	1
huc	1
hunc	1
i	1
ianuarii	1
ideo	1
iis	1
illibatos	1
imperiali	1
indigeret	1
infrascripto	1
infrascriptorum	1
inspecturis	1
intentionis	1
intimamus	1
inuitantibus	1
ioannes	1
iocelino	1
isto	1
istum	1
iura	1
iuratus	1
iuribus	1
iurisdictione	1
ius	1
iuxta	1
laurentius	1
lege	1
legibus	1
libertate	1
libertates	1
licenciato	1
licentia	1
ligerim	1
litteras	1
loci	1
locum	1
loquendo	1
loyseau	1
magistris	1
magnum	1
mai	1
manifestum	1
matutinalis	1
mea	1
mei	1
mera	1
meridiem	1
meum	1
miseratione	1
missa	1
modum	1
monasterium	1
more	1
necnon	1
nicolaus	1
nisi	1
nominatis	1
nona	1
nostra	1
nostrorum	1
notariis	1
notariorum	1
nouo	1
nullatenus	1
nunc	1
obstante	1
octauo	1
omnia	1
omnium	1
ordinando	1
ordinassemus	1
ordine	1
ordinem	1
ordinibus	1
pariter	1
parrochiali	1
parrochianorum	1
pateat	1
pater	1
patris	1
per	1
permittente	1
permittentibus	1
perpetratam	1
persona	1
personis	1
petiit	1
petri	1
petro	1
philippus	1
polluta	1
possessionem	1
possimus	1
posui	1
predicta	1
predicte	1
predictis	1
predictorum	1
prenominatis	1
presbyter	1
presbyteris	1
presentes	1
presentia	1
presentialiter	1
prestantibus	1
priuilegia	1
priuilegiis	1
procuratorum	1
promoti	1
protulit	1
publicam	1
qua	1
quasi	1
quibus	1
quiquis	1
quo	1
reconciliatione	1
reconciliationis	1
redegi	1
religioso	1
remanere	1
requisitus	1
retro	1
reuerendus	1
rogatis	1
rogatus	1
sacris	1
sacros	1
salutem	1
sanguinis	1
sed	1
sempiternam	1
septima	1
sexto	1
si	1
sicut	1
signaui	1
signum	1
singula	1
singulorum	1
sit	1
solitum	1
solummodo	1
sponte	1
sub	1
suis	1
sumpto	1
superius	1
supplicationem	1
suppriori	1
supra	1
supradictis	1
suprascripto	1
talibus	1
testium	1
theobaldi	1
trecensis	1
tricesimo	1
ueluti	1
uenerabilibus	1
ueraciter	1
uerba	1
uero	1
uicarii	1
uicario	1
uicarius	1
uice	1
uicesima	1
uicesimo	1
uilla	1
uiolentam	1
uiris	1
uiro	1
uniuersis	1
uobis	1
uolumus	1
ut	1
