word	F
,	63
et	16
.	15
uel	6
de	5
uobis	5
a	4
monasteriis	4
quod	4
si	4
[	3
]	3
cum	3
dei	3
deo	3
eius	3
hanc	3
hoc	3
in	3
litteras	3
non	3
per	3
quam	3
se	3
super	3
uestre	3
ut	3
anno	2
apostolicas	2
apostolorum	2
attemptare	2
auctoritate	2
autem	2
beatorum	2
christi	2
concessionis	2
contraire	2
coram	2
datis	2
dietas	2
duas	2
ei	2
eodem	2
episcopus	2
ergo	2
etiam	2
ex	2
exinde	2
expositum	2
fratribus	2
fuit	2
hiis	2
hominum	2
idus	2
igitur	2
incursum	2
indignationem	2
indulgemus	2
infringere	2
liceat	2
litibus	2
ne	2
nobis	2
nostre	2
nouerit	2
nulli	2
offeruntur	2
omnino	2
omnipotentis	2
option	2
ordine	2
paginam	2
parte	2
pauli	2
petri	2
pontificatus	2
portionem	2
presentium	2
presumpsit	2
primo	2
que	2
quieti	2
quis	2
salutem	2
seruientibus	2
siquidem	2
solum	2
sua	2
sub	2
temerario	2
uestra	2
uestris	2
ultra	2
uniuersis	2
uolentes	2
uos	2
usu	2
;	1
:	1
1	1
2	1
abbati	1
abbatibus	1
abusiuum	1
acceptare	1
accrescat	1
ad	1
adhuc	1
aliorum	1
aliqua	1
aliquam	1
aliquid	1
amalech	1
amari	1
amarum	1
aperta	1
apostolicam	1
auaritia	1
benedictionem	1
bonis	1
cabilonensis	1
caliditate	1
causam	1
cedere	1
cedunt	1
certam	1
cetero	1
cisterciensi	1
cisterciensis	1
citari	1
clerici	1
coabbatibus	1
cogamini	1
collatas	1
commoditatis	1
compellamini	1
conatibus	1
congruo	1
consulere	1
contemplationi	1
contemplationis	1
continentes	1
cuiquam	1
cupidi	1
cupientes	1
damnabiliter	1
damnosas	1
datum	1
debemus	1
decembri	1
declarare	1
defalcari	1
deuotionis	1
dilectis	1
dispensationis	1
distrahi	1
diuina	1
dominum	1
donant	1
donatores	1
dum	1
durandus	1
ea	1
ecclesiarum	1
elemosinis	1
est	1
exigendo	1
existunt	1
expensis	1
experimento	1
faciunt	1
fatigati	1
fecerint	1
fideles	1
filiis	1
formam	1
g	1
gerimus	1
hac	1
homines	1
ianuarii	1
illorum	1
immeriti	1
immobilia	1
impium	1
incumbat	1
indulgentia	1
indulgentias	1
inquietant	1
inspeximus	1
intendentes	1
intuitu	1
inuidia	1
israelem	1
ita	1
iustitiam	1
iustorum	1
laboribus	1
laici	1
laterani	1
lateranum	1
legitimas	1
licet	1
littere	1
malitiam	1
malitiose	1
mentionem	1
miseratione	1
mobilia	1
moysis	1
multipliciter	1
nisi	1
nonnulli	1
nos	1
nostri	1
nostro	1
nullam	1
obtentu	1
obuiare	1
odiosis	1
omnibus	1
onus	1
opponuntur	1
ordinis	1
otiam	1
pactiones	1
parrochianum	1
pauperibus	1
peccatorum	1
persequi	1
persequitur	1
peruenerint	1
pietatis	1
pluresue	1
positis	1
possumus	1
potius	1
prelati	1
presentes	1
priuilegia	1
propriis	1
prosequi	1
prouidere	1
quando	1
quantum	1
quarto	1
quasi	1
qui	1
quorum	1
quos	1
refragari	1
regorius	1
religiosos	1
relinquere	1
remedio	1
reputandum	1
sancta	1
sapientia	1
sciamus	1
sed	1
seruorum	1
seruus	1
seuitia	1
sit	1
soluere	1
sortem	1
suam	1
suauitate	1
subdola	1
subire	1
suis	1
taliter	1
tam	1
temere	1
tenuimus	1
testimonium	1
totaliter	1
trahi	1
u	1
uacantibus	1
ueri	1
ueritatis	1
uersutiis	1
uerum	1
uices	1
uideamur	1
uidere	1
uidimus	1
uincat	1
uirgam	1
uiros	1
uita	1
uniuersitati	1
uolumus	1
usus	1
