word	F
,	173
.	106
et	95
in	75
cum	60
que	43
omnibus	37
ad	34
de	33
cellam	24
sancti	22
honore	16
quod	16
quoque	16
episcopatu	15
pertinentibus	15
etiam	14
monasterium	14
suis	14
dicitur	13
dicto	13
ecclesiam	11
locus	11
per	11
pertinentiis	11
uidetur	11
uocatur	11
habere	10
iam	10
:	9
comitatu	9
dictus	9
ecclesia	9
sancte	9
supra	9
terras	8
appendiciis	7
ecclesias	7
ecclesiis	7
ipsum	7
qui	7
seu	7
terris	7
tuis	7
ab	6
curtem	6
dei	6
dicte	6
domino	6
domus	6
ea	6
eidem	6
episcopo	6
episcopus	6
loco	6
uel	6
uereo	6
uillam	6
a	5
cenobio	5
cluniensi	5
dicit	5
dominus	5
hoc	5
locum	5
nostri	5
omnes	5
omnia	5
perpetuum	5
quam	5
requisitus	5
uidelicet	5
uietello	5
ut	5
anno	4
apostolice	4
beate	4
cellulam	4
cluniacus	4
constructam	4
curatus	4
dictam	4
domini	4
ecclesie	4
genitricis	4
huius	4
marie	4
morinus	4
petri	4
quecumque	4
se	4
successoribus	4
super	4
tibi	4
uictoris	4
uidentur	4
uillis	4
aliis	3
atque	3
auctoritatis	3
autem	3
bonis	3
christo	3
concedimus	3
consecratum	3
contulit	3
curte	3
datum	3
dedit	3
dictum	3
die	3
domum	3
eam	3
eius	3
eiusdem	3
est	3
illam	3
ipsam	3
ipsius	3
ipso	3
iuxta	3
leprosarie	3
loci	3
matisconensi	3
monasterio	3
monte	3
neque	3
pertinere	3
priuilegii	3
pro	3
quas	3
quondam	3
rebus	3
rector	3
rege	3
sancto	3
sanctus	3
si	3
sicut	3
sunt	3
tui	3
ubi	3
uillea	3
;	2
?	2
[	2
]	2
abbatibus	2
absque	2
ac	2
adeleeide	2
anathematis	2
andree	2
apostolorum	2
archipresbiter	2
aspicere	2
auctoritate	2
cabilonensi	2
castro	2
celsinianense	2
cenobium	2
clericus	2
cluniense	2
confirmamus	2
consecratam	2
constructum	2
conuenientiam	2
corporaliter	2
corroboramus	2
cuiuscumque	2
curam	2
decernimus	2
deo	2
dictas	2
dominum	2
domnus	2
domo	2
eduensis	2
eundem	2
ex	2
fecit	2
