word	F
,	40
de	24
et	22
ea	14
la	8
nous	6
que	6
pour	5
.	4
dame	4
deuant	4
dis	4
es	4
l	4
lor	4
notre	4
ou	4
an	3
en	3
eude	3
fil	3
le	3
liureees	3
nos	3
parisis	3
saint	3
son	3
successours	3
terre	3
[	2
]	2
au	2
auons	2
barres	2
ces	2
chascun	2
chaumont	2
cheualier	2
d	2
dites	2
fame	2
hoirs	2
il	2
les	2
lettres	2
manquant	2
moustier	2
noz	2
par	2
preesentes	2
puissent	2
qui	2
rendre	2
soit	2
sols	2
tele	2
tenuz	2
texte	2
touz	2
accroissenz	1
achater	1
alys	1
ames	1
amortissons	1
aquitons	1
asauoir	1
auoir	1
ausi	1
baillieees	1
ce	1
cens	1
censiues	1
ceste	1
ceus	1
chose	1
cinc	1
ciz	1
condicion	1
couent	1
court	1
cousins	1
crist	1
dees	1
deus	1
dicte	1
dieu	1
disiesme	1
dite	1
doner	1
donnee	1
donons	1
dou	1
droit	1
dyoceese	1
eabesse	1
eals	1
eames	1
ean	1
eauril	1
eeglise	1
eincarnacion	1
empereres	1
empire	1
estable	1
eu	1
faisons	1
ferme	1
fiees	1
greace	1
iadis	1
ieesu	1
indicion	1
iour	1
lea	1
letres	1
martin	1
menieere	1
mielz	1
mil	1
noble	1
orendroit	1
orront	1
pendant	1
phelippes	1
pierre	1
plain	1
pooir	1
premier	1
profit	1
puissiens	1
quatre	1
raison	1
reconnoissance	1
reconoissance	1
romeenie	1
sans	1
scel	1
sceleees	1
seignour	1
semblera	1
ses	1
soient	1
tenour	1
tenra	1
tens	1
terres	1
tout	1
toute	1
trois	1
ualleerian	1
uerein	1
uerront	1
uins	1
unzeime	1
uolons	1
