word	F
,	126
.	64
et	62
in	37
de	29
ut	17
ad	16
;	15
si	13
uel	11
a	10
autem	9
cum	9
ecclesie	9
quod	9
:	8
ecclesia	8
eduenses	8
s	8
u	8
aut	7
capituli	7
cistercienses	7
eduensis	7
sancti	7
usque	7
beati	6
episcopus	6
esse	6
est	6
non	6
potuerint	6
apostolice	5
eiusdem	5
legatus	5
monachi	5
nec	5
pro	5
que	5
sedis	5
abbas	4
apud	4
canonici	4
contigerit	4
domini	4
episcopi	4
habere	4
hec	4
hoc	4
inter	4
nazarii	4
omnes	4
omnibus	4
pape	4
presbiteri	4
probare	4
quam	4
quatuor	4
qui	4
sanctorum	4
secundum	4
statutum	4
stephani	4
sub	4
sunt	4
uero	4
utriusque	4
ab	3
abbatis	3
abstinebunt	3
alii	3
biliniaci	3
capitulo	3
capitulum	3
cardinalis	3
duobus	3
ecclesiam	3
ego	3
eis	3
episcopum	3
etiam	3
facta	3
festo	3
henricus	3
hugo	3
hugonis	3
impressione	3
lazari	3
litteris	3
nobis	3
nostri	3
partis	3
per	3
poterit	3
predicti	3
sancte	3
se	3
solidi	3
tamen	3
teneant	3
terram	3
testibus	3
tribus	3
xxu	3
[	2
]	2
aliis	2
aliquid	2
alterius	2
anno	2
annua	2
archidiaconi	2
archiepiscopus	2
auctoritate	2
autisiodorensi	2
c	2
canonicis	2
cantor	2
capella	2
censam	2
censu	2
cisterciensis	2
cistercii	2
claromontanum	2
cluniacenses	2
cluniacensium	2
consilio	2
constructum	2
consueto	2
deseruiant	2
deseruient	2
diffinitione	2
diffinitionem	2
dimittent	2
dominus	2
dono	2
ea	2
eam	2
eorum	2
episcopis	2
fiat	2
fuerint	2
fuerit	2
galo	2
gislebertus	2
go	2
guichardus	2
guido	2
habeant	2
ibi	2
idem	2
illa	2
illorum	2
iohannis	2
ipsius	2
iure	2
licentiam	2
litteras	2
lugdunensis	2
m	2
marie	2
missam	2
modo	2
monachos	2
monasterii	2
monasterium	2
monstrare	2
notitiam	2
octo	2
odonis	2
omnium	2
pace	2
pasche	2
pensione	2
permaneat	2
perpetuum	2
plus	2
possessionem	2
possessionibus	2
possidebunt	2
postquam	2
potestatis	2
predictis	2
prepositi	2
presbiter	2
presbiterorum	2
presens	2
preter	2
priuilegium	2
proprietatis	2
qua	2
quas	2
quibus	2
quilibet	2
quinquaginta	2
quo	2
quos	2
redibunt	2
romane	2
saluo	2
salutem	2
scriptum	2
sigilli	2
sigillorum	2
singulis	2
solemniter	2
super	2
tam	2
teneatur	2
terminis	2
terminum	2
terra	2
totius	2
uacare	2
uenerabili	2
ueniant	2
uespera	2
uigilia	2
uineas	2
uiris	2
uolumus	2
uoluntatem	2
abbati	1
abbatibus	1
absque	1
accensis	1
acquiratis	1
acquisierint	1
acta	1
actum	1
addetur	1
aderant	1
agitate	1
aguntur	1
albane	1
aliam	1
aliena	1
alique	1
allegatione	1
allegauerunt	1
allodio	1
alosie	1
altare	1
altari	1
altera	1
amicabili	1
amissis	1
amplior	1
anathemati	1
ancelinus	1
andochii	1
andree	1
annotari	1
annuatim	1
ansei	1
ansericus	1
ante	1
antiquorum	1
aprilis	1
archidiaconus	1
archiepiscopi	1
archiepiscopis	1
archiepiscopo	1
arnaldus	1
ascencionis	1
ascherius	1
assensu	1
assidentibus	1
assignantur	1
assumptionem	1
atque	1
auctoritatem	1
audita	1
audito	1
beate	1
beatorum	1
belne	1
belnensis	1
beneficiati	1
beneficium	1
bernardus	1
bertranni	1
bertrannus	1
biliniacenses	1
bilziaco	1
bituricensi	1
bona	1
breuis	1
burgundie	1
buxeria	1
buxol	1
calumniantur	1
calumpniam	1
camerarii	1
camerarius	1
candelis	1
canonico	1
canonicorum	1
canonicus	1
cantet	1
cantoris	1
capellanus	1
caritas	1
carrionem	1
celebrabit	1
celebrabunt	1
celebrabuntur	1
celebrandum	1
celebrari	1
celebrato	1
celsi	1
censuales	1
censum	1
cesteleen	1
ceteris	1
choro	1
christi	1
cimiterium	1
cirtercienses	1
cisterciensibus	1
cistercium	1
cito	1
claustro	1
cluniacensis	1
colchis	1
comes	1
comite	1
commendentur	1
commune	1
compositione	1
compositionem	1
compostello	1
concedantur	1
concedendi	1
concedetur	1
concedimus	1
concesserunt	1
concessit	1
concilio	1
confirmamus	1
conquerebantur	1
conquesti	1
consensu	1
constant	1
constituti	1
constitutiones	1
constitutionibus	1
construere	1
consuetudinem	1
continetur	1
contra	1
contradicendi	1
contraire	1
controuersias	1
conuenit	1
conuentu	1
conuentui	1
conuersi	1
conuincti	1
