word	F
,	43
et	36
de	18
.	17
in	15
dicti	6
a	5
ad	5
me	5
dou	4
hoc	4
uillari	4
anno	3
iuxta	3
mansi	3
mansum	3
non	3
religiosis	3
amen	2
cum	2
curie	2
dicte	2
dictis	2
dicto	2
domini	2
du	2
ego	2
en	2
facio	2
habitantes	2
heredes	2
ie	2
iohannis	2
le	2
littis	2
manso	2
mense	2
meos	2
notarii	2
per	2
predictorum	2
presentia	2
qui	2
quod	2
religiosorum	2
super	2
testium	2
turonensium	2
uenditionem	2
[	1
]	1
abbati	1
actionem	1
actum	1
adiudicata	1
aliquo	1
apparerent	1
apponi	1
apud	1
augustum	1
autem	1
bona	1
bonorum	1
bontefene	1
bretenere	1
burgundie	1
calompniatores	1
carnipreuium	1
causa	1
ccco	1
cedo	1
cenz	1
charrete	1
chellon	1
chescun	1
chestel	1
cheualiers	1
circumuentus	1
coactus	1
compelli	1
concedo	1
contra	1
conuentui	1
corcelles	1
corporaliter	1
corrant	1
couent	1
cuius	1
curiam	1
cystercii	1
d	1
debent	1
debeo	1
debet	1
deceptus	1
deffendere	1
dei	1
des	1
deu	1
deuestio	1
dicta	1
dictam	1
dictos	1
domicellus	1
done	1
ducis	1
eain	1
eauril	1
edifficio	1
eisdem	1
eiusdem	1
encarnatio	1
eodem	1
esperit	1
euictionis	1
euuangelia	1
ex	1
exceptionibus	1
expensis	1
facere	1
facto	1
fidem	1
fieri	1
fil	1
fortis	1
fuero	1
fuerunt	1
gallinam	1
garantire	1
guillelmi	1
guydonis	1
habeo	1
habere	1
hanc	1
hereditatem	1
hinc	1
homagium	1
hominibus	1
honestis	1
honus	1
hugues	1
incarnationis	1
inde	1
inspecturis	1
intrauit	1
inuestio	1
iohannem	1
ioquillot	1
ipsius	1
istis	1
item	1
iuhenti	1
iuramentum	1
iuriditioni	1
ius	1
iustitiabiles	1
l	1
latensa	1
laudonam	1
leu	1
li	1
librarum	1
litteras	1
litteris	1
magistri	1
manentibus	1
mansus	1
marreyo	1
mea	1
medium	1
mei	1
meis	1
meorum	1
meum	1
michi	1
mil	1
millesimo	1
mois	1
molayse	1
monart	1
monete	1
moratur	1
mostellat	1
nec	1
nomine	1
nonnes	1
nostre	1
notum	1
obligatione	1
obseruantiam	1
obtinui	1
octobris	1
omes	1
omnia	1
omnibus	1
omnium	1
ougnans	1
pacifice	1
pagato	1
parte	1
penitus	1
pere	1
perpetuo	1
perpetuum	1
peruorum	1
petri	1
plenarie	1
possum	1
postee	1
postposito	1
pourtaul	1
predicti	1
predictis	1
premissorum	1
presentes	1
presentibus	1
prestare	1
prestari	1
prestitum	1
pretio	1
primo	1
pro	1
promittens	1
propriis	1
prouisus	1
quacumque	1
quantito	1
quare	1
quas	1
quasi	1
que	1
quibus	1
quicquid	1
quinze	1
quitto	1
quo	1
quolibet	1
quorum	1
quos	1
quotiens	1
rationem	1
re	1
relicta	1
religiosos	1
remotus	1
requisitus	1
retroacto	1
rogaui	1
roubertus	1
sancta	1
sanctum	1
sauement	1
seint	1
septem	1
seruientis	1
sex	1
si	1
sigillum	1
signour	1
sittum	1
sohonois	1
solidos	1
solz	1
specialiter	1
spontaneus	1
sub	1
subscriptorum	1
succipere	1
sumptibus	1
sunt	1
suppono	1
tempore	1
teneo	1
testimonium	1
totaliter	1
toto	1
totum	1
tricesimo	1
trois	1
uenditione	1
uendo	1
uero	1
uienne	1
uilla	1
uiris	1
uniuersis	1
unum	1
uocatorum	1
uolens	1
xl	1
ysabellis	1
