word	F
,	232
et	100
de	98
.	33
la	27
in	23
d	21
dicte	16
ea	16
en	16
dit	13
bourgoigne	12
dame	12
les	11
earbois	10
que	10
a	9
uille	9
;	7
ad	7
cabilonensis	7
litteram	7
nos	7
per	7
ce	6
dominus	6
duchesse	6
hugo	6
mess	6
salins	6
chyualiers	5
clarc	5
dictam	5
iehanne	5
noble	5
nostre	5
pro	5
quod	5
temps	5
trees	5
usus	5
ac	4
appellez	4
autem	4
ciuitatis	4
communaltey	4
contesse	4
domini	4
domino	4
ees	4
esteuenin	4
le	4
lour	4
noz	4
pour	4
proudomes	4
toutes	4
u	4
:	3
[	3
]	3
anno	3
auons	3
besene	3
ces	3
choses	3
concedo	3
conte	3
court	3
dessus	3
droit	3
earthois	3
eorum	3
ex	3
f	3
firmitatis	3
formam	3
france	3
gaufridus	3
graces	3
haute	3
hoc	3
humbertus	3
hun	3
il	3
luy	3
ne	3
notaires	3
nous	3
omnes	3
on	3
palatine	3
part	3
publicam	3
quant	3
quondam	3
reins	3
sicut	3
soy	3
stephanus	3
tenir	3
terre	3
touz	3
uinginti	3
absque	2
apud	2
auctoritatem	2
axxxuii	2
bisuntine	2
bixe	2
bona	2
bosco	2
celuy	2
chambuy	2
chescun	2
come	2
comitis	2
confessus	2
coram	2
costumes	2
cuius	2
cum	2
curie	2
decimo	2
des	2
dictes	2
dicto	2
die	2
diligenter	2
diz	2
do	2
donneees	2
episcopi	2
escheuins	2
escuier	2
est	2
etiam	2
eune	2
exemplari	2
faciendas	2
facimus	2
fait	2
filz	2
frainchises	2
geeneerals	2
habebat	2
hec	2
homines	2
hore	2
hugone	2
iehan	2
iehanz	2
iohanne	2
iouis	2
ipsis	2
iurarent	2
iure	2
li	2
libratas	2
mandato	2
manso	2
marcelliaci	2
marie	2
meere	2
mo	2
monachus	2
necessarios	2
nobis	2
nomine	2
non	2
nostro	2
notum	2
octauo	2
officialis	2
ordenances	2
ou	2
personelment	2
pierre	2
post	2
predicte	2
predicto	2
preesence	2
preesentes	2
presbyter	2
presentibus	2
priuilieeges	2
procurator	2
procuratoris	2
procureur	2
propter	2
puissant	2
quacce	2
quas	2
quel	2
qui	2
quicquid	2
quoque	2
raygne	2
redigi	2
religiosum	2
requis	2
robert	2
sancte	2
ses	2
si	2
sigillis	2
sine	2
sit	2
soignour	2
sunt	2
supra	2
terminos	2
testes	2
tonnerre	2
uel	2
uia	2
uidelicet	2
uir	2
ut	2
abbatie	1
abbatis	1
accipere	1
acta	1
adnullari	1
alia	1
aliam	1
alias	1
aliis	1
aliqua	1
aliquod	1
alixandres	1
allato	1
anduy	1
animalium	1
annotatos	1
annuentes	1
ansericus	1
apparebat	1
appellant	1
appertendra	1
appertenences	1
appertenir	1
appertient	1
apponendum	1
apprees	1
aqua	1
aquarum	1
arguello	1
assederit	1
assignauerit	1
atque	1
auctoritate	1
aucune	1
aulix	1
auquel	1
aussi	1
axxxui	1
bailiz	1
balme	1
bartholomeus	1
bartholomier	1
beeneefices	1
belenor	1
belfort	1
benigne	1
bernardus	1
blaisi	1
boicherne	1
bondum	1
bone	1
bonecte	1
bongie	1
bonorum	1
bonot	1
borget	1
boscis	1
bracum	1
bruant	1
burgos	1
buxi	1
cabilone	1
calumpnia	1
cancellari	1
canonicorum	1
canonicus	1
cantatur	1
cartam	1
castro	1
casus	1
ccc	1
ccco	1
celerarius	1
celluy	1
cent	1
cetera	1
charreriam	1
charrerie	1
chasul	1
chescon	1
chescum	1
chescune	1
chessey	1
chestelain	1
cheualiers	1
chose	1
circa	1
citius	1
clericum	1
clers	1
clux	1
co	1
cognehurent	1
comectons	1
commandement	1
commis	1
concesserunt	1
condonate	1
confessarent	1
constancium	1
constituti	1
contigeret	1
contra	1
conuencione	1
conuentus	1
corrant	1
corrumpi	1
corruptam	1
corruption	1
cui	1
cysterciensis	1
dalmacii	1
dalmacius	1
dampni	1
dampno	1
dampnum	1
dangio	1
datum	1
decretum	1
dederunt	1
deo	1
deperire	1
destrui	1
dimictantur	1
disant	1
discrimina	1
ditz	1
diuersa	1
dominicam	1
dominice	1
dominis	1
donacionis	1
du	1
duas	1
duc	1
duo	1
duximus	1
dyocesis	1
ean	1
eandem	1
eanteni	1
easdem	1
eautre	1
eautruyl	1
eensuegant	1
eesparnay	1
ego	1
eidem	1
eis	1
eisdem	1
eius	1
eiusdem	1
engeltrude	1
ensamble	1
entour	1
escripte	1
escriptes	1
espicial	1
espicialement	1
espiciaulx	1
establissement	1
estaubliz	1
esteynne	1
estre	1
excellant	1
exegerit	1
exemplum	1
extimacione	1
extra	1
eyuoiriez	1
faceremus	1
facie	1
factum	1
faictes	1
faire	1
fairont	1
fe	1
feci	1
feodum	1
ferri	1
feste	1
fide	1
filii	1
fille	1
firmitate	1
fontanis	1
forte	1
fortuitos	1
foy	1
frane	1
frater	1
freere	1
frugum	1
fuerant	1
furent	1
fut	1
galterus	1
garder	1
gaufridi	1
geeneeraulx	1
genestei	1
gens	1
gentem	1
gerardo	1
girart	1
gondenens	1
grangis	1
grannepolitanorum	1
grant	1
graonam	1
greuillez	1
guienot	1
guy	1
habeo	1
habere	1
habiturum	1
habuisse	1
hac	1
herueius	1
his	1
homagium	1
home	1
huedes	1
hugoni	1
hugonis	1
huguenin	1
iadix	1
iahanne	1
iamblia	1
ibi	1
ibidem	1
idem	1
iehans	1
illustris	1
incarnationis	1
incursus	1
inducerem	1
inferius	1
infra	1
insinuacioni	1
insinuamus	1
insinuari	1
inspectura	1
inspecturis	1
inspeximus	1
instamment	1
integraliter	1
inter	1
interponimus	1
intulerint	1
inuicem	1
ipsam	1
ipsorum	1
isto	1
istos	1
iudica	1
iudicio	1
iuratum	1
iurez	1
iusticia	1
iustise	1
l	1
ladicte	1
laiz	1
laquel	1
laudante	1
laudauerunt	1
lectres	1
lettres	1
leur	1
libertez	1
librarum	1
libras	1
libratis	1
lidit	1
lignorum	1
littera	1
litteras	1
litteris	1
loca	1
locis	1
loquals	1
loqualx	1
loye	1
luef	1
lxxxio	1
lyon	1
m	1
mairoz	1
mais	1
maison	1
malam	1
male	1
malonna	1
mandaui	1
manentibus	1
mantendront	1
mantenir	1
manu	1
marcelliacum	1
marcille	1
me	1
mea	1
mectre	1
mee	1
mehaut	1
mei	1
memorie	1
meo	1
messire	1
messires	1
michi	1
mil	1
miles	1
militibus	1
monachi	1
monachis	1
monestei	1
monsignour	1
monss	1
mont	1
mostrez	1
mss.	1
multiplices	1
munire	1
mydi	1
naufragia	1
nec	1
necessaria	1
necessarium	1
nobilibus	1
nobilis	1
nom	1
nostra	1
nostram	1
notario	1
notarium	1
nuef	1
nulla	1
numerata	1
nycholet	1
obligauit	1
occasione	1
official	1
ois	1
omni	1
omnibus	1
omnium	1
ons	1
opilionibus	1
ordinis	1
originali	1
otthe	1
otthonin	1
ouctroiez	1
outroies	1
paissez	1
parte	1
pasce	1
pastus	1
peccora	1
peccorum	1
pecunia	1
pehoir	1
perdi	1
perfecte	1
pergameni	1
perpetue	1
personaliter	1
petro	1
petrus	1
plaine	1
plenieere	1
pluribus	1
plus	1
poissant	1
ponte	1
portat	1
portu	1
posset	1
possunt	1
potentissimus	1
potestate	1
prato	1
pratorum	1
precipimus	1
predicti	1
predictus	1
preesent	1
preeuoires	1
premissa	1
prepositus	1
presbitero	1
presentes	1
presenteuiler	1
preter	1
pretio	1
preuencal	1
pridonum	1
prima	1
priuato	1
priuatum	1
promicto	1
promisi	1
prudens	1
publicum	1
publiement	1
puet	1
purificacion	1
qua	1
quales	1
quandam	1
quantum	1
quar	1
quare	1
quartes	1
quercubus	1
quercus	1
querele	1
quibus	1
quidem	1
quindenam	1
quingentarum	1
quingentas	1
quo	1
quousque	1
r	1
recehurent	1
recepisse	1
reclamacione	1
recognouit	1
redactioni	1
rei	1
reinaldus	1
relaction	1
religione	1
religiosis	1
rellias	1
reparimus	1
retentione	1
retortas	1
richard	1
roberti	1
roberto	1
rogatis	1
roigne	1
rubeomonte	1
s	1
saluo	1
sambedi	1
sancto	1
sanctum	1
saul	1
sauoir	1
sciens	1
scribere	1
se	1
seel	1
senz	1
sequitur	1
seront	1
serours	1
siccorum	1
sigillatam	1
sigillum	1
signe	1
sires	1
solidis	1
son	1
specialiter	1
spontaneus	1
statuz	1
stephaniensium	1
sui	1
super	1
supplicationi	1
supplicauit	1
supposita	1
suppositis	1
symonet	1
tant	1
tendit	1
tendront	1
tenere	1
tenor	1
tenour	1
tenuitamem	1
territorio	1
tes	1
tesmoignaige	1
tesmoins	1
testamentum	1
testibus	1
thic	1
torquere	1
totum	1
tous	1
tout	1
transferre	1
transierint	1
tresorier	1
trois	1
tronum	1
tuicionem	1
uadit	1
uaites	1
uarios	1
uaura	1
ueniens	1
uenientem	1
uerba	1
ueritey	1
uero	1
uersus	1
uiam	1
uiarum	1
uiciatam	1
uienot	1
uilla	1
uillefrancon	1
uingt	1
uirides	1
uiridium	1
uiris	1
uirorum	1
ulla	1
uniuersis	1
uocatis	1
uoies	1
uoluntey	1
uxore	1
uxori	1
xl	1
ycellie	1
