word	F
.	11
et	10
de	4
ecclesie	3
quod	3
apud	2
byssi	2
dampnum	2
dedit	2
h	2
in	2
medietatem	2
si	2
sue	2
,	1
aanor	1
actum	1
ad	1
aliam	1
alicui	1
aliquod	1
animalium	1
anime	1
anno	1
annuatim	1
appensione	1
b	1
bladi	1
capitali	1
concessit	1
cones	1
cui	1
cum	1
cumigney	1
deo	1
des	1
dicte	1
dicti	1
donauit	1
ducentesimo	1
ego	1
ei	1
eidem	1
elemosinam	1
emendationem	1
etiam	1
exsoluent	1
facio	1
fecerint	1
filia	1
filiis	1
filium	1
filius	1
fratribus	1
frumenti	1
fuerit	1
futuris	1
genuerit	1
grangiam	1
gratie	1
hec	1
henricus	1
hugo	1
hugonem	1
illatum	1
illi	1
inconcussum	1
ipsius	1
lamberti	1
laudauit	1
maioris	1
marcauges	1
mei	1
millesimo	1
muniui	1
nobilis	1
non	1
notum	1
officialis	1
omnia	1
omnibus	1
ordei	1
pasturas	1
pecorum	1
permaneat	1
perpetuam	1
perpetuum	1
presens	1
presentibus	1
pro	1
puram	1
quam	1
qui	1
quinciacensi	1
quinciacum	1
quinto	1
quondam	1
quoque	1
quos	1
ratum	1
rebus	1
remedio	1
restituto	1
rogatu	1
scriptum	1
sepulte	1
sextarium	1
sigilli	1
solo	1
soluebatur	1
suis	1
suorum	1
tam	1
tornodorum	1
uicesimo	1
uir	1
unum	1
usum	1
ut	1
uxoris	1
willermus	1
