word	F
,	214
et	108
de	85
.	49
in	47
;	25
eius	15
quod	15
hoc	13
prepositus	13
uel	13
:	11
poncius	11
loci	9
petrus	9
eiusdem	8
hugo	8
per	8
qui	8
quicquid	8
testes	8
bernardus	7
cum	7
deo	7
domini	7
donum	7
est	7
sancti	7
canonici	6
canonicorum	6
coram	6
eorum	6
filii	6
germignee	6
manu	6
monachis	6
prior	6
pro	6
que	6
sancto	6
stephanus	6
comitis	5
dono	5
huius	5
iohannes	5
marchia	5
neque	5
petri	5
presentibus	5
robertus	5
sancte	5
super	5
tempore	5
territorio	5
uero	5
uidelicet	5
ut	5
uxore	5
a	4
autem	4
dedit	4
domni	4
ecclesia	4
ecclesie	4
ego	4
erga	4
ex	4
factum	4
frater	4
fuit	4
habebat	4
hugonis	4
iustitiam	4
omnibus	4
parte	4
prioris	4
rei	4
se	4
si	4
terra	4
testibus	4
ab	3
aliis	3
aut	3
cabilonensi	3
capellanus	3
capitulo	3
comes	3
confirmo	3
dederunt	3
domnus	3
firmitate	3
firmitatis	3
futuris	3
gerinus	3
gualterio	3
gualterius	3
guido	3
guigo	3
guillermus	3
habebant	3
hac	3
hec	3
humbertus	3
ipsa	3
iuris	3
laudo	3
marie	3
pace	3
perpetuum	3
quam	3
querela	3
regnaudus	3
requisitionem	3
rursus	3
seniceo	3
sine	3
sunt	3
supradicte	3
supradicti	3
terris	3
tilliaco	3
uiennensis	3
uxor	3
willelmus	3
(	2
)	2
abbas	2
ac	2
achardo	2
ad	2
ademarus	2
aicardus	2
aimo	2
alii	2
aliquid	2
altare	2
ambo	2
aniciensis	2
apud	2
aquis	2
archidiaconi	2
archidiaconus	2
archipresbiter	2
archipresbitero	2
archipresbyter	2
ballia	2
bergun	2
bernardi	2
bertelais	2
cabilonis	2
calumniam	2
calumpniabantur	2
castrum	2
cistercii	2
concesserunt	2
cuius	2
cyrici	2
decano	2
decanus	2
die	2
domno	2
ei	2
episcopi	2
episcopo	2
episcopus	2
faciant	2
fecerunt	2
filiis	2
filius	2
fratres	2
fratris	2
futuri	2
galterii	2
gibriaci	2
guichardus	2
guillelmi	2
habere	2
haberet	2
henricus	2
his	2
ibidem	2
inde	2
iniuste	2
ipso	2
ipsum	2
iurauit	2
iure	2
iustitia	2
laudante	2
laudauerunt	2
laudauit	2
leicis	2
looranus	2
manus	2
marchie	2
merderon	2
molestiam	2
nicholai	2
niuernensis	2
nos	2
notum	2
nouerint	2
odo	2
olmes	2
parens	2
pars	2
partem	2
partis	2
pater	2
peirola	2
possent	2
pratis	2
predicti	2
predicto	2
prepositi	2
presentes	2
prius	2
quando	2
quid	2
ratum	2
rodulfus	2
rufus	2
sacramentum	2
sacrosanctum	2
saldun	2
seruientes	2
seruientibus	2
seu	2
siluis	2
simphoriano	2
sit	2
solidos	2
stephani	2
tam	2
terniacensis	2
terniaco	2
tertiam	2
uenditionem	2
uendo	2
uinea	2
uineam	2
ulla	2
uos	2
ursens	2
utriusque	2
willermus	2
?	1
[	1
]	1
abbatis	1
accepit	1
acquisita	1
adiacentibus	1
adiudicatum	1
adiuuare	1
adquieuit	1
adquiret	1
adquisiuit	1
aduentus	1
aduersus	1
aliorum	1
aliqua	1
aliquam	1
aliquando	1
aliquis	1
aliquo	1
ambiliacensi	1
ambrosii	1
amedei	1
amicis	1
amicus	1
ammuniaci	1
amplius	1
andree	1
antefatis	1
antelmus	1
appenditiis	1
aqua	1
aquam	1
aquinus	1
arans	1
archiepiscopi	1
archiepiscoporum	1
archiepiscopus	1
armannus	1
asini	1
atque	1
atto	1
audientibus	1
audisse	1
balauin	1
balbiaco	1
bardelinus	1
bartholomei	1
beati	1
belini	1
belinus	1
benedictus	1
berardus	1
berno	1
berriaco	1
bertranno	1
bertrannus	1
bona	1
bonefacius	1
boni	1
bonito	1
bordelini	1
bosler	1
brixia	1
bruno	1
bruns	1
brunus	1
brutinus	1
burellus	1
burgundie	1
c	1
cabilonensis	1
cacipulci	1
calliot	1
calumniabar	1
calumpniabatur	1
calumpniari	1
candiaco	1
canonicis	1
capelle	1
capitulum	1
castellaniam	1
castellanie	1
castri	1
cauda	1
causa	1
ceperunt	1
cetero	1
chalagnes	1
chalgeio	1
chasagnes	1
chauals	1
ciro	1
clamora	1
clericis	1
cluniacenses	1
cluniacensibus	1
cluniaci	1
cognitum	1
comenaco	1
comernai	1
comite	1
comitem	1
commentato	1
cona	1
conaretur	1
concesso	1
confirmauit	1
confordus	1
consobrinus	1
constanter	1
constitutam	1
contegui	1
contradictione	1
conuenerunt	1
creuerunt	1
cueriis	1
cufee	1
cultis	1
cunctis	1
curtauas	1
curtile	1
datis	1
debere	1
deberent	1
decani	1
decanum	1
decem	1
dederant	1
dederat	1
deinde	1
detur	1
dicebat	1
diem	1
dimitterent	1
discordia	1
discretis	1
discussione	1
dominica	1
dominis	1
domino	1
dominus	1
domo	1
domui	1
domus	1
dona	1
donauerunt	1
duas	1
ducis	1
duranni	1
durannus	1
e	1
ebrardus	1
ecclesiee	1
eecclesiee	1
efficerent	1
eis	1
eodem	1
erat	1
etiam	1
eus	1
expensis	1
facere	1
faciet	1
facimus	1
facta	1
fangeio	1
faramont	1
fari	1
fecerat	1
fecit	1
femina	1
fide	1
fideiussorem	1
fideiussoribus	1
fidelitatem	1
fieri	1
filia	1
filios	1
firma	1
firmamentorum	1
fontem	1
fore	1
forestarius	1
foris	1
fratre	1
fratribus	1
fraude	1
fulcolt	1
furno	1
futurum	1
gais	1
galterius	1
galterus	1
garcinus	1
garnerius	1
gaufridus	1
gerino	1
girberto	1
griniaco	1
grossum	1
gualterii	1
guerpiuit	1
guerram	1
guichardi	1
guidone	1
guifredus	1
guillelmo	1
guillelmus	1
guiorguium	1
habebo	1
habeo	1
haberent	1
habuerat	1
habuerunt	1
habuisse	1
hahere	1
hanc	1
henrici	1
henrico	1
heredes	1
hereditario	1
hinc	1
hisdem	1
horum	1
hospicio	1
hudetlone	1
hugone	1
hugoni	1
humbaudi	1
humberti	1
hunc	1
huonis	1
idem	1
idiers	1
idoneos	1
igitur	1
illa	1
ille	1
incultis	1
ingenio	1
inibi	1
inperpetuum	1
inquietudine	1
inreuocabiliter	1
insuper	1
inuiolabilis	1
iocerannum	1
ipse	1
ipsi	1
ista	1
istorum	1
itaque	1
iudicatum	1
iudicio	1
iudicium	1
iuramentum	1
iurauerunt	1
iuste	1
iuxta	1
lab	1
landas	1
lastricii	1
laudantibus	1
laudare	1
laudatum	1
legitimis	1
legitimos	1
leicos	1
letordo	1
librum	1
licardus	1
lisla	1
locis	1
loco	1
loisei	1
lugdunensis	1
magister	1
magistri	1
magnam	1
magne	1
magnus	1
mali	1
mallenus	1
malo	1
maneat	1
manibus	1
mantellum	1
marcello	1
marchiam	1
mariee	1
martini	1
martinus	1
marziaco	1
masculus	1
mater	1
matiscensis	1
matris	1
mea	1
meam	1
meis	1
mercheil	1
mihi	1
milite	1
minor	1
modum	1
monachos	1
monasterio	1
monte	1
morellus	1
mouit	1
multi	1
multum	1
mutationem	1
natiuitate	1
natos	1
natu	1
ne	1
nec	1
negabat	1
nepotibus	1
nichilominus	1
nicolaus	1
nigrabolli	1
nisi	1
noluerunt	1
nomina	1
nondum	1
nostri	1
notandum	1
notificare	1
obtimum	1
occasio	1
omni	1
omnia	1
osselis	1
pacem	1
paganus	1
parrochia	1
parrochiam	1
paruam	1
paruus	1
patruo	1
pax	1
personam	1
personis	1
petro	1
philiberto	1
placitat	1
placitorum	1
plenam	1
plogo	1
plures	1
