word	F
,	16
.	13
de	11
et	10
in	5
nobis	5
quam	4
terra	4
est	3
partem	3
prepositus	3
que	3
:	2
a	2
ad	2
anno	2
dederunt	2
eadem	2
eis	2
eiusdem	2
gibaldus	2
habebant	2
hoc	2
huius	2
idem	2
iuxta	2
lambertus	2
petrus	2
quartam	2
quod	2
similiter	2
stephanus	2
sunt	2
testes	2
;	1
ab	1
abbatisse	1
actum	1
aliam	1
aliquam	1
amicus	1
andreas	1
ascensuit	1
aueline	1
autem	1
basele	1
bertheri	1
billeio	1
bonamie	1
bonus	1
bricius	1
burgundie	1
calumpniam	1
capellanus	1
castro	1
catels	1
censurii	1
centesimo	1
cmo	1
concurrente	1
conuentio	1
conuentione	1
conuersi	1
decima	1
decime	1
dedit	1
denarios	1
diuionensis	1
diuionensium	1
domini	1
dorneci	1
dubietatis	1
ducisse	1
ea	1
eam	1
eius	1
epacta	1
esparnaio	1
extingueret	1
faceret	1
facta	1
feruerneio	1
fieri	1
fratres	1
futuris	1
garantizaret	1
gauterus	1
genleio	1
gerardus	1
guidonis	1
habeba	1
habebat	1
hugo	1
humbertus	1
iiio	1
illam	1
incarnati	1
incarnatione	1
indictione	1
inuadiationis	1
inuadiauit	1
ipse	1
ipsi	1
ista	1
la	1
lescheres	1
letardus	1
libris	1
ligius	1
lxmo	1
magister	1
manum	1
maria	1
marie	1
millesimo	1
minister	1
mmo	1
modernis	1
montmeein	1
notum	1
omne	1
omnia	1
paluels	1
parte	1
per	1
portans	1
pratum	1
prima	1
primo	1
pro	1
prorsus	1
quarta	1
quicquid	1
quinquagesimo	1
quis	1
rainaudus	1
rei	1
remouendum	1
riuum	1
robertus	1
roure	1
sanctimonialibus	1
scandalum	1
scilicet	1
scrupulum	1
sed	1
septimo	1
si	1
sit	1
sociorum	1
stephani	1
super	1
tam	1
tarsensi	1
terram	1
terre	1
terricus	1
theobaudus	1
thibertus	1
uadio	1
ualle	1
uendidit	1
uerbi	1
uero	1
uia	1
uiii	1
uinum	1
uolumus	1
usque	1
uxor	1
wiardus	1
x	1
xiiiior	1
