word	F
,	1615
.	1121
et	692
in	462
s	356
de	280
ad	145
ista	141
qui	141
terra	118
uel	111
cum	110
;	103
nos	103
que	98
uobis	93
latus	89
ego	87
uno	86
die	84
aut	79
alio	76
uilla	74
si	64
fronte	63
a	61
sua	60
res	58
tibi	54
est	52
ipsa	52
ipso	52
una	52
quod	49
infra	48
terminat	45
firmare	44
anno	42
mense	42
contra	41
integrum	40
fieri	39
[	38
]	38
firma	38
pago	38
domino	36
non	36
agro	35
perticas	35
uendimus	35
uenire	35
abet	34
permaneat	34
dei	33
quis	33
rege	33
tempore	33
tradimus	33
uinea	33
ullus	33
uos	33
at	32
rogatus	32
sancti	32
subnixa	32
omnibus	31
presens	30
tantum	30
front	29
precium	29
rogauerunt	29
sicut	29
sig	29
presente	28
uxor	28
uia	27
accepimus	26
curtilo	26
facta	26
solidos	26
inter	25
istas	25
omni	25
pro	25
uero	25
auri	24
fisco	24
agere	23
iii	23
ipsas	23
iure	23
regnante	23
repetit	23
uendicione	23
ulla	23
eredibus	22
hanc	22
ipse	22
nostris	22
persona	22
post	22
emissa	21
fratribus	21
potestatem	21
sin	21
sunt	21
terminaciones	21
uindicione	21
actum	20
nomine	20
sign	20
:	19
componat	19
datauit	19
ii	19
set	19
uncia	19
anc	18
conuenit	18
ex	18
ipsi	18
nomen	18
terminacione	18
donamus	17
emtores	17
loco	17
mea	17
subscripsit	17
te	17
totum	17
ualeat	17
uoluerit	17
uolueritis	17
atque	16
donacione	16
fine	16
hoc	16
longo	16
nostro	16
publica	16
uindicare	16
campo	15
campus	15
meo	15
per	15
presumpserit	15
scripsit	15
stabilis	15
ambis	14
dataui	14
facere	14
fuerit	14
integro	14
oc	14
quantum	14
ui	14
dono	13
iuris	13
pedes	13
quitquit	13
rogauit	13
similiter	13
superius	13
tentare	13
tunc	13
u	13
ubi	13
uendendi	13
uendicio	13
uxore	13
commutandi	12
constat	12
donandi	12
inferamus	12
inferat	12
ita	12
nostra	12
parte	12
percicas	12
potestate	12
scripsi	12
sed	12
signum	12
tercio	12
uenditores	12
uolueris	12
ut	12
agripinales	11
alias	11
dadauit	11
defensatum	11
eris	11
esse	11
matisconense	11
nobis	11
obitum	11
omo	11
primo	11
sit	11
subteriore	11
tercia	11
transfundimus	11
uestra	11
uinditores	11
abere	10
aliquit	10
alium	10
conponat	10
ec	10
i	10
iiii	10
lunis	10
me	10
meis	10
se	10
sero	10
seu	10
stibulacione	10
stipulacione	10
ualente	10
uocat	10
aliquid	9
annos	9
campis	9
cercio	9
contradicentem	9
credimus	9
dicere	9
dominacione	9
hactum	9
inquietare	9
ipsos	9
karlo	9
liceat	9
manso	9
media	9
medio	9
mercoris	9
minime	9
nostri	9
odono	9
pratis	9
precia	9
quicquid	9
siluis	9
sub	9
superiore	9
trado	9
uii	9
unde	9
abeatis	8
ac	8
aquarum	8
casa	8
cui	8
culpabilis	8
decursibus	8
dicitur	8
dominico	8
emtore	8
ereditate	8
eres	8
faciatis	8
fines	8
heredibus	8
iam	8
illas	8
liberam	8
marcio	8
mihi	8
nostras	8
omnia	8
permanead	8
sabato	8
terminationes	8
uestri	8
uindiccione	8
uinia	8
abendi	7
aquis	7
bosoni	7
curtilus	7
debet	7
dinarios	7
donacio	7
exinde	7
fierunt	7
filio	7
fron	7
ibi	7
illa	7
imperatore	7
inantea	7
manibus	7
martini	7
martino	7
nihil	7
nostros	7
nullum	7
obuenit	7
omnis	7
placuit	7
possidere	7
presumserit	7
pullica	7
quarta	7
quidem	7
quiquid	7
rofiaco	7
seut	7
sitas	7
stipulatione	7
suo	7
temtare	7
ualead	7
ualentes	7
uendo	7
uestris	7
uindedimus	7
uindicio	7
uineis	7
ab	6
abeas	6
adabendi	6
aspiciunt	6
au	6
benedicto	6
bernerio	6
bieria	6
calumniare	6
dacbert	6
eo	6
escripsit	6
estabilis	6
faciendum	6
femina	6
firmissimam	6
genitore	6
illo	6
madio	6
mane	6
melioratas	6
nec	6
perpetualiter	6
perticationes	6
precio	6
presbiter	6
publice	6
puplica	6
rofiacense	6
situs	6
solidus	6
suis	6
sumus	6
super	6
suprapositum	6
tentat	6
terminet	6
tres	6
uiii	6
uindiccio	6
uindimus	6
usque	6
uxsor	6
xiii	6
xx	6
(	5
)	5
alia	5
aqua	5
as	5
bernardo	5
bona	5
carlo	5
caucilla	5
cedo	5
complacuit	5
comutandi	5
dilecto	5
diximus	5
ecclesia	5
eredes	5
estrada	5
facias	5
germano	5
hec	5
homo	5
igitur	5
infantis	5
infer	5
insuper	5
ipsius	5
ipsum	5
is	5
istibulacione	5
item	5
lado	5
legibus	5
magnifico	5
mancipia	5
mano	5
meas	5
oblado	5
paugo	5
perticacione	5
petri	5
prato	5
preter	5
primis	5
propterea	5
puplice	5
quelibet	5
quem	5
quot	5
rennante	5
sancto	5
sita	5
subscripsi	5
superposito	5
transfundo	5
ualuerint	5
uendedimus	5
uestro	5
uias	5
uillas	5
uisi	5
uocant	5
uoluente	5
amandus	4
amore	4
arboribus	4
auro	4
circa	4
coactus	4
coniux	4
consensit	4
decimis	4
dictas	4
dodono	4
dominatione	4
domno	4
dotalicium	4
edificiis	4
emttores	4
