word	F
,	608
.	461
et	263
in	202
s	133
ad	89
a	84
que	76
cum	69
sancti	67
signum	56
est	50
uel	46
;	45
de	43
dei	40
terra	40
uincentii	39
res	35
uilla	35
infra	32
donamus	27
ecclesie	27
ut	27
qui	26
die	25
hoc	24
pago	24
sunt	24
atque	23
ipsa	23
ipsam	23
perticas	22
sero	21
aut	20
ego	20
mane	20
pro	20
quod	20
si	20
casam	19
medio	19
agro	18
partibus	18
circio	17
ex	17
terminat	17
uxor	17
ipsas	16
istas	16
terminationes	16
auri	15
canonicis	15
curtilus	15
quicquid	15
rebus	15
sua	15
fuit	14
ipsum	14
quis	14
componat	13
eius	13
eorum	13
episcopus	13
ipso	13
nomine	13
quam	13
sacrosancte	13
suis	13
integrum	12
matisconense	12
mea	12
nos	12
omni	12
presens	12
uinea	12
uobis	12
curtilum	11
habet	11
ipsius	11
omnibus	11
per	11
site	11
uia	11
:	10
capellam	10
constructa	10
contradixerit	10
dono	10
martiris	10
nostre	10
publica	10
similiter	10
contra	9
hanc	9
honore	9
iam	9
ibidem	9
ii	9
ipse	9
loco	9
muros	9
parte	9
quarta	9
sue	9
terminatur	9
alio	8
aliquid	8
cedimus	8
cui	8
giraldus	8
habere	8
inter	8
iure	8
longo	8
nobis	8
non	8
pratis	8
sicut	8
siluis	8
tempore	8
totum	8
ubi	8
uero	8
uxoris	8
capella	7
fronte	7
infantibus	7
istam	7
ita	7
nostris	7
post	7
preest	7
quas	7
uineis	7
uno	7
amore	6
ante	6
aquarum	6
aquis	6
ciuitatis	6
decursibus	6
domni	6
domnus	6
donationem	6
esse	6
falcidia	6
festiuitate	6
fieri	6
fratrum	6
hec	6
ibi	6
ista	6
latus	6
libram	6
nazarii	6
nostri	6
proprietatis	6
sancto	6
se	6
tam	6
uenerabilis	6
uerani	6
uoluerit	6
ab	5
ac	5
alias	5
annis	5
anno	5
campis	5
christi	5
conuenit	5
denarios	5
domino	5
donat	5
dum	5
ea	5
eiusdem	5
eo	5
etiam	5
fusciacense	5
hactum	5
his	5
iii	5
imperatoris	5
integritate	5
mancipiis	5
mansum	5
matisconensi	5
matisconum	5
matri	5
meis	5
missos	5
pascuis	5
quem	5
ratione	5
rege	5
regnante	5
secundum	5
singulis	5
subnixa	5
superius	5
uendimus	5
uidetur	5
uii	5
uincentio	5
una	5
unciam	5
unus	5
usus	5
aspicit	4
aspiciunt	4
canonicos	4
censum	4
commutat	4
dicitur	4
diuina	4
duos	4
ecclesiam	4
episcopi	4
episcopo	4
faciat	4
fines	4
firma	4
hereditate	4
heredum	4
heres	4
iiii	4
insimul	4
ipsos	4
legibus	4
libras	4
manibus	4
mei	4
nominibus	4
nostram	4
nostrorum	4
nostrum	4
omnia	4
pedes	4
percurrente	4
permaneat	4
perticationes	4
petri	4
placuit	4
prefatam	4
preter	4
primo	4
propterea	4
qualiter	4
remedio	4
sit	4
sitas	4
siue	4
solidos	4
stipulatione	4
suam	4
sui	4
supra	4
teneamus	4
tenente	4
teudoni	4
trado	4
tunc	4
ui	4
uiii	4
uineam	4
uir	4
unoquoque	4
unum	4
usque	4
uxore	4
accepit	3
adalardi	3
alia	3
aliis	3
anime	3
arboribus	3
aspicere	3
autem	3
basilice	3
beati	3
campum	3
campus	3
canonici	3
carta	3
causa	3
commutarent	3
decessum	3
deo	3
diem	3
dominatione	3
domini	3
domui	3
donationis	3
e	3
ecclesiastico	3
edificiis	3
eidem	3
elena	3
emmonis	3
faciant	3
fecerunt	3
fecit	3
fructum	3
fundata	3
genitricis	3
hac	3
heredes	3
heredibus	3
