word	F
et	17
,	10
de	9
nous	8
le	7
a	6
en	6
que	6
cheualier	5
dit	5
par	5
uous	5
ce	4
dicte	4
l	4
la	4
leur	4
.	3
)	3
assise	3
contre	3
execution	3
il	3
ne	3
notre	3
pour	3
religieuses	3
autres	2
certaine	2
cheualiers	2
d	2
deffaut	2
deuant	2
dites	2
diz	2
es	2
faire	2
gurgey	2
les	2
letres	2
mandons	2
monseigneur	2
part	2
requeste	2
si	2
soit	2
sur	2
touz	2
[	1
]	1
aa	1
abbesse	1
acontre	1
adictes	1
ait	1
an	1
annexee	1
annexees	1
anotre	1
ant	1
aou	1
aparu	1
apperra	1
arequerons	1
ascencion	1
assignation	1
asunt	1
atendens	1
auons	1
auous	1
autre	1
axl	1
blaisey	1
c	1
ces	1
commandons	1
commane	1
comme	1
commettons	1
comparens	1
conparuz	1
consoil	1
contenu	1
conuent	1
debt	1
dehuement	1
des	1
deuencier	1
dictes	1
dieu	1
diligemment	1
dite	1
donee	1
donnee	1
donnons	1
du	1
ean	1
encommanciee	1
enterinee	1
entre	1
faisant	1
faites	1
faiz	1
fust	1
grant	1
grez	1
guillaume	1
hauons	1
heu	1
i	1
iiic	1
instance	1
iourneee	1
lengre	1
lesqueles	1
lettres	1
li	1
lundi	1
luy	1
meismement	1
memes	1
mil	1
mis	1
nos	1
octroiassiens	1
octroiee	1
octroyez	1
opposez	1
oye	1
parfaites	1
parmi	1
paru	1
pere	1
personnes	1
pleniere	1
pouoir	1
presente	1
presentes	1
qu	1
quetre	1
quoyb	1
relacion	1
requerans	1
reuerend	1
satisfactions	1
scel	1
scoit	1
se	1
seigneur	1
soffisamment	1
soubs	1
subiets	1
tournee	1
tranchiee	1
uaulbaon	1
uenuz	1
uertu	1
une	1
uotre	1
ycelle	1
ycelles	1
