word	F
,	21
de	18
et	12
.	10
illi	6
;	2
ad	2
atque	2
autem	2
construant	2
deo	2
dimidiam	2
disponimus	2
ecclesie	2
faciant	2
ob	2
que	2
tum	2
uero	2
alciaco	1
amen	1
aquis	1
arco	1
aream	1
auctoritate	1
basilicam	1
berineis	1
blaico	1
cabilonensis	1
caminata	1
canobis	1
celestibus	1
cellarium	1
censemus	1
cetera	1
claustri	1
construximus	1
culpis	1
cum	1
cunctis	1
deleantur	1
demorantes	1
dirigantur	1
disponente	1
ditare	1
diuina	1
dolens	1
doleo	1
domini	1
dominicam	1
donante	1
ea	1
ecclesias	1
edificant	1
efficacem	1
ei	1
etiam	1
exigentibus	1
filiis	1
floriaco	1
fundatas	1
gergiaco	1
gratia	1
guntrannus	1
habitant	1
hec	1
heu	1
ibidem	1
igitur	1
immoderatam	1
incuriam	1
ingluuiem	1
inibi	1
introitum	1
introitus	1
libro	1
liliaco	1
lingis	1
litua	1
lobiam	1
manentes	1
manu	1
marcelli	1
martiris	1
matris	1
me	1
mercureis	1
mittant	1
monachi	1
munire	1
ne	1
nec	1
necessaria	1
negligentiam	1
obsequiis	1
officiis	1
ogniaco	1
operatores	1
ordinationibus	1
oriengis	1
ospitale	1
partem	1
peragant	1
pessumdari	1
petri	1
porticum	1
prediis	1
prelatorum	1
preparandum	1
pretiosissimi	1
principum	1
prouelle	1
quam	1
quatinus	1
qui	1
quicumque	1
quoniam	1
quoque	1
redeam	1
refectorium	1
regali	1
regnante	1
rex	1
roboramus	1
rofiaco	1
saltem	1
salutem	1
sancte	1
sancti	1
scociolis	1
secretarii	1
sentio	1
serui	1
seruorum	1
seruus	1
sic	1
solarium	1
solidioribus	1
subuenire	1
thapariaco	1
thesauri	1
treuis	1
turbauerint	1
uacua	1
uidelicet	1
uidens	1
uideo	1
uiriniaco	1
uite	1
unam	1
uniuersis	1
ut	1
