word	F
et	14
.	8
in	4
quod	4
a	3
gratia	3
me	3
qui	3
uobis	3
ab	2
ad	2
atque	2
cum	2
dei	2
ego	2
eo	2
est	2
habent	2
longe	2
meam	2
non	2
ordinis	2
pro	2
sed	2
semper	2
tamen	2
uestri	2
ut	2
[	1
]	1
abbates	1
abbati	1
absens	1
alter	1
alterius	1
amicos	1
anima	1
apostolus	1
assessores	1
barral	1
bone	1
bonitate	1
bonorum	1
capitulo	1
caritate	1
caritatis	1
cetera	1
cisterciensi	1
cognomento	1
cognosco	1
collaterales	1
concedo	1
confirmo	1
confisus	1
confugio	1
coram	1
corpore	1
curetis	1
de	1
debitum	1
deposco	1
depressus	1
deuotione	1
dispositione	1
diuina	1
dixerim	1
domino	1
duco	1
eant	1
eius	1
eiusdem	1
ementes	1
enim	1
esse	1
ex	1
exactione	1
expostulo	1
faciatis	1
factus	1
fauente	1
fidelilem	1
forte	1
fratrem	1
fratris	1
fuerint	1
fundatis	1
g	1
gaufredi	1
generis	1
grauaminibus	1
grossi	1
guillermi	1
habundanti	1
hoc	1
honera	1
humani	1
id	1
igitur	1
immensis	1
impietate	1
impleatur	1
implorando	1
indeficientem	1
indignum	1
ineffabilli	1
ingens	1
ingenti	1
iniquitate	1
iniquitatem	1
instanti	1
intuitu	1
ipsius	1
ipso	1
is	1
ita	1
iuges	1
iure	1
laudo	1
leticiam	1
liberi	1
licet	1
male	1
massilia	1
massilie	1
mea	1
medico	1
mei	1
memorie	1
mente	1
meum	1
mihi	1
missarum	1
multis	1
necessaria	1
nisi	1
omnem	1
omnes	1
omni	1
omnipotentis	1
omnium	1
opus	1
orationum	1
parte	1
participem	1
paruum	1
patrum	1
peccatorum	1
peccatum	1
per	1
perpetuo	1
persoluere	1
placet	1
porrigo	1
portare	1
positi	1
potentibus	1
precepit	1
preces	1
presens	1
professione	1
prope	1
que	1
queque	1
quidem	1
quoniam	1
r	1
recipiatis	1
redeant	1
redemptore	1
releuare	1
remedia	1
requiro	1
reuerentissimo	1
sancta	1
sanctorum	1
sani	1
securi	1
si	1
sibi	1
sicut	1
siquidem	1
spiritualia	1
subueniendi	1
suffragia	1
sunt	1
temporalia	1
teneor	1
terram	1
testante	1
teste	1
uel	1
uendentes	1
uestrarum	1
uestrorum	1
uicecomes	1
uicini	1
uniuerso	1
uos	1
urbe	1
utrumque	1
